player,innings_batted,runs,50s,100s,strike_rate,batting_average,innings_batted_scaled,runs_scaled,50s_scaled,100s_scaled,strike_rate_scaled,batting_average_scaled,batter_score,batter_score_scaled
N Harman,5,43,0,0,86.67,8.6,-0.35663093566952414,-0.6032616796186469,-0.5414927144714782,-0.26885776359858365,1.4498904238442416,-0.7446917427701577,-0.18877709030055362,0.23780723012251492
RA Fackrell (L),1,8,0,0,34.78,8.0,-1.3408700245041936,-0.8431262962631045,-0.5414927144714782,-0.26885776359858365,-0.8462109743836955,-0.7820504598339523,-0.8126201452906394,0.09731172695498234
S Munro,5,25,0,0,53.57,6.25,-0.35663093566952414,-0.7266206253215108,-0.5414927144714782,-0.26885776359858365,-0.014764736713567648,-0.8910133846033533,-0.5664839763450434,0.15274397810714094
S Pai,4,32,0,0,50.0,8.0,-0.6026907078781916,-0.6786477019926193,-0.5414927144714782,-0.26885776359858365,-0.17273509693082986,-0.7820504598339523,-0.5670006365470477,0.1526276212214361
SB Odedra,4,63,0,0,73.04,31.5,-0.6026907078781916,-0.4661961843932425,-0.5414927144714782,-0.26885776359858365,0.8467710933788962,0.6811659584980043,0.025147068101008335,0.28598502425504085
SJ Bryce,13,597,5,1,59.34,49.75,1.6118472419998149,3.193452538125054,3.419426215458779,2.56311067963983,0.24055430487007476,1.8174936025217578,2.228382430489562,0.7821749847895861
T Graves,12,217,1,0,76.72,21.7,1.3657874697911474,0.5892081288423711,0.25069107151457326,-0.26885776359858365,1.009608887664477,0.07097357978935855,0.5486411903551909,0.40388097504432396
TT Beaumont,5,220,3,0,57.34,44.0,-0.35663093566952414,0.6097679531261818,1.835058643486676,-0.26885776359858365,0.15205550362791107,1.4594725639937258,0.6571796896420377,0.42832489719489875
Y Graves,4,53,0,0,57.61,17.67,-0.6026907078781916,-0.5347289320059447,-0.5414927144714782,-0.26885776359858365,0.16400284179560298,-0.17995246982246194,-0.3144700043054596,0.20949996749218347
A Campbell,12,293,2,0,73.39,24.42,1.3657874697911474,1.1100570106989076,1.0428748575006246,-0.26885776359858365,0.8622583835962746,0.24033309714522771,0.8270341791474682,0.4665777747054276
AL MacDonald,9,179,1,0,56.5,19.89,0.6276081531651453,0.3287836879141028,0.25069107151457326,-0.26885776359858365,0.11488600710620216,-0.04172521668642186,0.19305689069935905,0.3237999439275878
BA Langston,11,234,2,0,82.26,29.25,1.1197276975824801,0.7057137997839649,1.0428748575006246,-0.26885776359858365,1.2547505671052708,0.5410707695087744,0.7714227167998193,0.45405353431849343
BAM Heath,10,249,2,0,72.26,35.57,0.8736679253738127,0.8085129212030181,1.0428748575006246,-0.26885776359858365,0.8122565608944523,0.9345825892474113,0.7955828955335236,0.4594946407645101
HJ Armitage,16,373,2,0,64.06,28.69,2.350026558625817,1.6583189916005252,1.0428748575006246,-0.26885776359858365,0.44941147580158103,0.5062026335825662,1.0935685507234587,0.5266038988186567
HL Fenby,3,19,0,0,70.95,19.0,-0.8487504800868589,-0.7677402738891321,-0.5414927144714782,-0.26885776359858365,0.754289846080835,-0.09714064699771728,-0.297008331341332,0.21343250550734338
JL Gunn,10,258,2,0,59.34,32.25,0.8736679253738127,0.87019239405445,1.0428748575006246,-0.26885776359858365,0.24055430487007476,0.7278643548277476,0.6676545602278596,0.4306839395883309
KA Levick,6,27,0,0,47.88,9.0,-0.11057116346085678,-0.7129140757989704,-0.5414927144714782,-0.26885776359858365,-0.26654382624752326,-0.7197859313942946,-0.5641233677144462,0.15327561005316406
KH Brunt,3,49,0,0,48.67,16.33,-0.8487504800868589,-0.5621420310510256,-0.5414927144714782,-0.26885776359858365,-0.23158679975686866,-0.2633869379316035,-0.43491370941850194,0.18237487758717888
L Dobson,5,74,0,0,37.43,14.8,-0.35663093566952414,-0.3908101620192701,-0.5414927144714782,-0.26885776359858365,-0.7289500627378287,-0.3586516664442797,-0.45173398943207255,0.178586787481787
L Tipton,1,14,0,0,58.33,14.0,-1.3408700245041936,-0.8020066476954832,-0.5414927144714782,-0.26885776359858365,0.19586241024278186,-0.40846328919600594,-0.510984192382325,0.1652430674392413
L Winfield,7,228,1,1,66.42,32.57,0.13548860874781057,0.6645941512163435,0.25069107151457326,2.56311067963983,0.5538400612673342,0.7477890039284381,0.7068576990816198,0.4395128664713804
LCN Smith,7,112,0,0,79.19,22.4,0.13548860874781057,-0.13038572109100183,-0.5414927144714782,-0.26885776359858365,1.1189049071985493,0.1145587496971189,0.1542760634220703,0.3150661257052107
NR Sciver,5,134,0,1,127.86,44.67,-0.35663093566952414,0.02038632365694298,-0.5414927144714782,2.56311067963983,3.272523235426603,1.5011897980482967,1.0471658038155458,0.5161535504128602
PC Graham,6,61,0,0,47.96,15.25,-0.11057116346085678,-0.479902733915783,-0.5414927144714782,-0.26885776359858365,-0.26300387419783683,-0.3306326286464338,-0.3807296129075024,0.19457766135161786
R Slater,2,6,0,0,10.0,6.0,-1.0948102522955263,-0.856832845785645,-0.5414927144714782,-0.26885776359858365,-1.9427111217741038,-0.9065795167132678,-1.0506909448192938,0.043695875176674684
RHM Hopkins,8,97,0,0,31.4,12.12,0.381548380956478,-0.2331848425100551,-0.5414927144714782,-0.26885776359858365,-0.9957739484829523,-0.5255206026625625,-0.430632194214307,0.18333911631376432
SJ Taylor,1,2,0,0,33.33,2.0,-1.3408700245041936,-0.8842459448307258,-0.5414927144714782,-0.26885776359858365,-0.9103726052842643,-1.1556376304718987,-0.9186737474537721,0.07342742772386333
SL Kalis,14,487,5,0,49.68,40.58,1.8579070142084821,2.43959231438533,3.419426215458779,-0.26885776359858365,-0.18689490512957607,1.2465278767300965,1.5601669090969366,0.6316863720664646
A Capsey,13,283,2,0,54.28,23.58,1.6118472419998149,1.0415242630862056,1.0428748575006246,-0.26885776359858365,0.016652337727400504,0.18803089325591502,0.6289157813805483,0.4219595910799785
A Cranstone,12,239,0,0,53.65,23.9,1.3657874697911474,0.7399801735903159,-0.5414927144714782,-0.26885776359858365,-0.011224784663881176,0.20795554235660552,0.4001090792402413,0.3704301038344772
AG Gordon,3,9,0,0,15.61,4.5,-0.8487504800868589,-0.8362730215018344,-0.5414927144714782,-0.26885776359858365,-1.6944719842898348,-0.9999763093727543,-0.9981675663161893,0.055524649147669206
AN Davidson-Richards,10,240,3,0,42.72,24.0,0.8736679253738127,0.7468334483515862,1.835058643486676,-0.26885776359858365,-0.4948707334523058,0.21418199520057135,0.4019307443709621,0.37084036048011293
BF Smith,9,269,2,0,100.94,29.89,0.6276081531651453,0.9455784164284224,1.0428748575006246,-0.26885776359858365,2.0813293707070795,0.5809200677101554,1.0280414374295965,0.5118465577218909
C Brewer,4,161,1,0,66.14,40.25,-0.6026907078781916,0.20542474221123888,0.25069107151457326,-0.26885776359858365,0.5414502290934312,1.2259805823450094,0.4148844262846355,0.37375765521278026
D Gregory,4,2,0,0,5.5,1.0,-0.6026907078781916,-0.8842459448307258,-0.5414927144714782,-0.26885776359858365,-2.141833424568972,-1.2179021589115564,-1.140509851167345,0.02346778681312387
E Gray,2,4,0,0,28.2,2.0,-1.0948102522955263,-0.8705393953081854,-0.5414927144714782,-0.26885776359858365,-1.1373720304704142,-1.1556376304718987,-0.9456026965954254,0.06736276734307316
Emma Jones,3,33,0,0,61.78,16.5,-0.8487504800868589,-0.6717944272313491,-0.5414927144714782,-0.26885776359858365,0.3485228423855144,-0.2528019680968616,-0.36611836530422254,0.1978682559450943
FR Davies,3,21,0,0,56.44,21.0,-0.8487504800868589,-0.7540337243665917,-0.5414927144714782,-0.26885776359858365,0.11223104306893715,0.027388409881598182,-0.3943463332827052,0.19151104393029206
GJ Gibbs,8,109,0,0,75.38,15.57,0.381548380956478,-0.15094554537481247,-0.5414927144714782,-0.26885776359858365,0.9503146908322273,-0.31070797954574325,0.038555741982952016,0.289004787589399
HV Jones,5,74,0,0,55.55,14.8,-0.35663093566952414,-0.3908101620192701,-0.5414927144714782,-0.26885776359858365,0.07284907651617428,-0.3586516664442797,-0.29137416158127194,0.21470137515178225
K Moore,3,85,0,0,74.6,28.33,-0.8487504800868589,-0.3154241396452977,-0.5414927144714782,-0.26885776359858365,0.9158001583477834,0.4837874033442892,0.05502160159018453,0.29271305878373144
KE White,10,189,2,0,44.7,21.0,0.8736679253738127,0.397316435526805,1.0428748575006246,-0.26885776359858365,-0.40725692022256355,0.027388409881598182,0.1852029448826619,0.32203115919793346
KM Chathli,3,40,0,0,50.26,13.33,-0.8487504800868589,-0.6238215039024575,-0.5414927144714782,-0.26885776359858365,-0.1612302527693487,-0.4501805232505766,-0.485956879867937,0.1708794608181752
M Blythin,2,56,1,0,41.16,28.0,-1.0948102522955263,-0.5141691077221341,0.25069107151457326,-0.26885776359858365,-0.5638997984211935,0.46324010895920226,-0.3071568835863354,0.21114695316741006
MS Belt,2,5,0,0,125.0,5.0,-1.0948102522955263,-0.8636861205469152,-0.5414927144714782,-0.26885776359858365,3.145969949650309,-0.9688440451529254,-0.04849160986491455,0.2694008801651805
NE Farrant,7,101,0,0,49.14,14.43,0.13548860874781057,-0.20577174346497423,-0.5414927144714782,-0.26885776359858365,-0.21078958146496024,-0.3816895419669531,-0.24483620271173362,0.22518217460200557
PA Franklin,5,82,0,0,86.31,20.5,-0.35663093566952414,-0.3359839639291084,-0.5414927144714782,-0.26885776359858365,1.4339606396206521,-0.003743854338230683,0.07650150260140626,0.29755054070554
R MacDonald-Gay,2,0,0,0,0.0,0.0,-1.0948102522955263,-0.8979524943532663,-0.5414927144714782,-0.26885776359858365,-2.3852051279849222,-1.280166687351214,-1.2324110220444766,0.002770752293322754
R Southby,7,42,0,0,61.38,14.0,0.13548860874781057,-0.6101149543799171,-0.5414927144714782,-0.26885776359858365,0.3308230821370817,-0.40846328919600594,-0.32382286434886015,0.2073936127490439
SE Rowe,4,79,0,0,45.88,26.33,-0.6026907078781916,-0.35654378821291904,-0.5414927144714782,-0.26885776359858365,-0.35504262748968696,0.3592583464649738,-0.23025362019816892,0.22846631353941493
SIR Dunkley,5,298,2,1,67.46,74.5,-0.35663093566952414,1.1443233845052587,1.0428748575006246,2.56311067963983,0.5998594379132589,3.3585406814032863,1.469093276964222,0.6111757072936015
AZ Monaghan,5,11,0,0,28.42,5.5,-0.35663093566952414,-0.8225664719792939,-0.5414927144714782,-0.26885776359858365,-1.1276371623337762,-0.9377117809330966,-0.8415737717310361,0.09079108962043199
CE Dean,9,214,1,0,54.27,35.67,0.6276081531651453,0.5686483045585604,0.25069107151457326,-0.26885776359858365,0.016209843721189773,0.9408090420913772,0.47776758726792234,0.38791955262021754
CE Rudd,9,105,0,0,53.35,11.67,0.6276081531651453,-0.17835864441989335,-0.5414927144714782,-0.26885776359858365,-0.024499604850205605,-0.5535396404604084,-0.20500635529632064,0.23415224232809964
CM Taylor,4,20,0,0,53.72,10.0,-0.6026907078781916,-0.760886999127862,-0.5414927144714782,-0.26885776359858365,-0.008127326620405434,-0.6575214029546368,-0.546180954819959,0.1573164153606635
DN Wyatt,6,325,5,0,80.66,65.0,-0.11057116346085678,1.3293618030595546,3.419426215458779,-0.26885776359858365,1.1839515261115394,2.767027661226538,1.5404085132643819,0.627236589798195
E Windsor,10,215,0,0,55.11,30.71,0.8736679253738127,0.5755015793198307,-0.5414927144714782,-0.26885776359858365,0.053379340242898365,0.6319769810306748,0.399212847313826,0.3702282637170802
EM McCaughan,12,242,2,0,51.67,22.0,1.3657874697911474,0.7605399978741265,1.0428748575006246,-0.26885776359858365,-0.0988385978936231,0.08965293832125591,0.4473960953135429,0.3810795982279273
ER Chandler,1,5,0,0,83.33,5.0,-1.3408700245041936,-0.8636861205469152,-0.5414927144714782,-0.26885776359858365,1.3020974257698281,-0.9688440451529254,-0.42956910325144404,0.18357853470360705
GA Elwiss,7,265,1,1,57.98,53.0,0.13548860874781057,0.9181653173833416,0.25069107151457326,2.56311067963983,0.18037512002540315,2.0198533199506454,1.0006845988128241,0.5056855324835839
GH Lewis,4,97,0,0,68.32,24.25,-0.6026907078781916,-0.2331848425100551,-0.5414927144714782,-0.26885776359858365,0.6379139224473893,0.2297481273104858,-0.0020528284753624226,0.27985934388554023
GL Adams,15,733,6,1,57.75,52.36,2.1039667864171494,4.125497905657804,4.21161000144483,2.56311067963983,0.17019775788255448,1.9800040217492645,2.7304487868474663,0.8952451949903144
LK Bell,2,7,0,0,85.0,7.0,-1.0948102522955263,-0.8499795710243747,-0.5414927144714782,-0.26885776359858365,1.375993924807035,-0.84431498827361,-0.37141305617256304,0.19667584023778814
ME Bouchier,14,378,2,0,75.06,31.5,1.8579070142084821,1.6925853654068763,1.0428748575006246,-0.26885776359858365,0.9361548826334815,0.6811659584980043,1.2167237880649178,0.5543396520655693
PAC Cowdrill,1,4,0,0,66.67,4.0,-1.3408700245041936,-0.8705393953081854,-0.5414927144714782,-0.26885776359858365,0.5649024114226047,-1.0311085735925831,-0.5925449854513919,0.14687478623562406
PJ Scholfield,11,180,0,0,66.22,22.5,1.1197276975824801,0.335636962675373,-0.5414927144714782,-0.26885776359858365,0.5449901811431177,0.12078520254108477,0.2996605709163792,0.3478081260685897
TG Norris,10,74,0,0,56.46,12.33,0.8736679253738127,-0.3908101620192701,-0.5414927144714782,-0.26885776359858365,0.11311603108135893,-0.5124450516902344,-0.2525645046652591,0.2234416860882584
AD Carr,11,157,1,0,39.13,14.27,1.1197276975824801,0.178011643166158,0.25069107151457326,-0.26885776359858365,-0.6537260816819894,-0.39165186651729833,-0.07389229994016298,0.26368039854022873
AJ Macleod,13,282,1,0,49.71,21.69,1.6118472419998149,1.0346709883249352,0.25069107151457326,-0.26885776359858365,-0.18556742311094357,0.07035093450496209,0.5222426745208147,0.3979357733860548
CL Griffith,11,357,2,0,64.65,32.45,1.1197276975824801,1.5486665954202017,1.0428748575006246,-0.26885776359858365,0.4755186221680195,0.7403172605156794,1.0347543840500566,0.5133583783723481
E Thorpe,2,23,0,0,90.0,23.0,-1.0948102522955263,-0.7403271748440513,-0.5414927144714782,-0.26885776359858365,1.5972409279124442,0.15191746676091364,-0.07857358626343085,0.26262612748247166
FC Wilson,8,205,2,0,75.34,29.29,0.381548380956478,0.5069688317071285,1.0428748575006246,-0.26885776359858365,0.9485447148073843,0.5435613506463607,0.5843354611018828,0.41191967081666736
G Scrivens,13,298,1,0,48.94,22.92,1.6118472419998149,1.1443233845052587,0.25069107151457326,-0.26885776359858365,-0.21963946158917672,0.14693630448574113,0.5800889191024695,0.4109633083948094
GKS Gole,5,40,0,0,44.2,8.0,-0.35663093566952414,-0.6238215039024575,-0.5414927144714782,-0.26885776359858365,-0.42938162053310447,-0.7820504598339523,-0.5813551635164965,0.14939484260320388
H Brown,1,16,0,0,34.04,16.0,-1.3408700245041936,-0.7883000981729428,-0.5414927144714782,-0.26885776359858365,-0.8789555308432963,-0.28393423231669046,-0.6948740219385344,0.1238292952985832
J Gardner,13,251,1,0,68.33,20.92,1.6118472419998149,0.8222194707255586,0.25069107151457326,-0.26885776359858365,0.6383564164536004,0.02240724760642567,0.5818355221342969,0.41135666032816454
K Speed,2,3,0,0,24.28,1.5,-1.0948102522955263,-0.8773926700694556,-0.5414927144714782,-0.26885776359858365,-1.310829680905055,-1.1867698946917276,-0.989604653168891,0.057453100192505595
KJ Wolfe,4,13,0,0,35.32,3.25,-0.6026907078781916,-0.8088599224567534,-0.5414927144714782,-0.26885776359858365,-0.8223162980483114,-1.0778069699223265,-0.8146636779970793,0.09685150358063518
KL Coppack,3,11,0,0,38.8,11.0,-0.8487504800868589,-0.8225664719792939,-0.5414927144714782,-0.26885776359858365,-0.6683283838869467,-0.5952568745149791,-0.7058270119789134,0.12136257576936368
KL Midwood,6,67,0,0,49.17,16.75,-0.11057116346085678,-0.43878308534816163,-0.5414927144714782,-0.26885776359858365,-0.20946209944632774,-0.23723583598694717,-0.33283805756987367,0.2053633038474581
KS Castle,13,191,1,0,52.58,17.36,1.6118472419998149,0.4110229850493454,0.25069107151457326,-0.26885776359858365,-0.05857164332843877,-0.19925447363875598,0.21307914737455672,0.32830915021533935
M Rogers,3,21,0,0,71.27,21.0,-0.8487504800868589,-0.7540337243665917,-0.5414927144714782,-0.26885776359858365,0.7684496542795809,0.027388409881598182,-0.2631026110405764,0.22106840238205971
MK Villiers,6,148,1,0,63.22,24.67,-0.11057116346085678,0.11633217031472604,0.25069107151457326,-0.26885776359858365,0.41224197927987216,0.25589922925514214,0.17954082557138623,0.32075599504363356
ND Dattani,13,268,1,0,49.88,20.62,1.6118472419998149,0.9387251416671523,0.25069107151457326,-0.26885776359858365,-0.17804502500535957,0.003727889074528306,0.4672469140598425,0.38555019503226806
Sonali Patel,7,30,0,0,33.85,6.0,0.13548860874781057,-0.6923542515151597,-0.5414927144714782,-0.26885776359858365,-0.8873629169613017,-0.9065795167132678,-0.7040909933828484,0.12175354398518555
A Clarke,1,1,0,0,16.67,1.0,-1.3408700245041936,-0.8910992195919961,-0.5414927144714782,-0.26885776359858365,-1.647567619631488,-1.2179021589115564,-1.08164962965372,0.03672367925588034
A Hartley,12,64,0,0,54.61,12.8,1.3657874697911474,-0.45934290963197233,-0.5414927144714782,-0.26885776359858365,0.031254639932357435,-0.48318072332359513,-0.26931767642658083,0.21966870941178263
AE Dyson,7,74,0,0,39.45,12.33,0.13548860874781057,-0.3908101620192701,-0.5414927144714782,-0.26885776359858365,-0.6395662734832432,-0.5124450516902344,-0.44000993140947964,0.18122715899490052
D Mullan,2,8,0,0,14.82,4.0,-1.0948102522955263,-0.8431262962631045,-0.5414927144714782,-0.26885776359858365,-1.7294290107804893,-1.0311085735925831,-1.0267723867112908,0.04908256631564898
