player,innings_batted,runs,50s,100s,strike_rate,batting_average,innings_batted_scaled,runs_scaled,50s_scaled,100s_scaled,strike_rate_scaled,batting_average_scaled,batter_score,batter_score_scaled
B Gammon,1,0,0,0,0.0,0.0,-1.3408700245041936,-0.8979524943532663,-0.5414927144714782,-0.26885776359858365,-2.3852051279849222,-1.280166687351214,-1.24471401065491,0.0
C Nicholas,2,46,0,0,63.06,46.0,-1.0948102522955263,-0.5827018553348362,-0.5414927144714782,-0.26885776359858365,0.4051620751804992,1.5840016208730414,0.04035886779175252,0.2894108690000285
C Skelton,2,43,0,0,83.01,43.0,-1.0948102522955263,-0.6032616796186469,-0.5414927144714782,-0.26885776359858365,1.2879376175710822,1.3972080355540681,0.17030333827835953,0.31867562336223676
DR Gibson,8,133,0,0,100.67,22.17,0.381548380956478,0.013533048895672762,-0.5414927144714782,-0.26885776359858365,2.0693820325393877,0.10023790815599783,0.4185737552864507,0.3745885278662698
E Corney,4,28,0,0,60.96,9.33,-0.6026907078781916,-0.7060608010377002,-0.5414927144714782,-0.26885776359858365,0.31223833387622724,-0.6992386370092075,-0.46577948039097383,0.17542360676875135
EM Edgcombe,2,11,0,0,75.0,11.0,-1.0948102522955263,-0.8225664719792939,-0.5414927144714782,-0.26885776359858365,0.9334999185962164,-0.5952568745149791,-0.39776434009271416,0.19074127566444207
FMK Morris,13,284,0,0,64.77,21.85,1.6118472419998149,1.0483775378474758,-0.5414927144714782,-0.26885776359858365,0.4808285502425489,0.08031325905530734,0.624073092087423,0.4208689705088599
GM Hennessy,13,285,1,1,47.64,21.92,1.6118472419998149,1.055230812608746,0.25069107151457326,2.56311067963983,-0.277163682396583,0.08467177604608339,0.6576379340615467,0.4284280982801359
HC Knight,5,381,5,0,92.22,95.25,-0.35663093566952414,1.7131451896906869,3.419426215458779,-0.26885776359858365,1.6954745972912457,4.650529646526184,2.179813059933829,0.7712366917362692
J Roberts,1,0,0,0,0.0,0.0,-1.3408700245041936,-0.8979524943532663,-0.5414927144714782,-0.26885776359858365,-2.3852051279849222,-1.280166687351214,-1.24471401065491,0.0
KL George,3,56,0,0,46.51,28.0,-0.8487504800868589,-0.5141691077221341,-0.5414927144714782,-0.26885776359858365,-0.3271655050984056,0.46324010895920226,-0.2871162256106471,0.2156603036064039
L Filer,5,14,0,0,33.41,14.0,-0.35663093566952414,-0.8020066476954832,-0.5414927144714782,-0.26885776359858365,-0.906832653234578,-0.40846328919600594,-0.6823112506360636,0.12665855317234015
LA Parfitt,11,220,1,0,45.54,22.0,1.1197276975824801,0.6097679531261818,0.25069107151457326,-0.26885776359858365,-0.37008742370085496,0.08965293832125591,0.27338673210578557,0.3418910028846253
MJ Robbins,4,9,0,0,26.24,3.0,-0.6026907078781916,-0.8362730215018344,-0.5414927144714782,-0.26885776359858365,-1.2241008556877346,-1.093373102032241,-0.9104697105172332,0.07527505636729251
N Harvey,5,41,0,0,55.83,20.5,-0.35663093566952414,-0.6169682291411873,-0.5414927144714782,-0.26885776359858365,0.08523890869007725,-0.003743854338230683,-0.3196857629301442,0.2083253280912734
N Holland,2,8,0,0,36.36,4.0,-1.0948102522955263,-0.8431262962631045,-0.5414927144714782,-0.26885776359858365,-0.7762969214023864,-1.0311085735925831,-0.8361459688356703,0.09201348344653738
NAJ Wraith,12,174,1,0,45.44,15.82,1.3657874697911474,0.2945173141077517,0.25069107151457326,-0.26885776359858365,-0.3745123637629632,-0.29514184743582883,0.0659829879940867,0.295181669255406
S Hutchins,1,4,0,0,36.36,4.0,-1.3408700245041936,-0.8705393953081854,-0.5414927144714782,-0.26885776359858365,-0.7762969214023864,-1.0311085735925831,-0.8607848520163901,0.08646456811876108
SN Luff,13,756,6,2,66.04,68.73,1.6118472419998149,4.283123225167019,4.21161000144483,5.395079122878244,0.5370252890313233,2.9992743523064616,3.1955921979088604,1.0
