batting_team,partnership,batter1,batter2,partner_labels,net_runs,batter1_runs,batter2_runs,matches
Lightning,KE Bryce & KL Gordon,KE Bryce,KL Gordon,KE Bryce & KL Gordon (Lightning),28,13,8,2
Lightning,KE Bryce & ML Kirk,KE Bryce,ML Kirk,KE Bryce & ML Kirk (Lightning),47,12,30,1
Lightning,KE Bryce & RA Fackrell,KE Bryce,RA Fackrell,KE Bryce & RA Fackrell (Lightning),52,42,8,1
Lightning,KE Bryce & SB Odedra,KE Bryce,SB Odedra,KE Bryce & SB Odedra (Lightning),77,47,24,2
Lightning,KE Bryce & SJ Bryce,KE Bryce,SJ Bryce,KE Bryce & SJ Bryce (Lightning),433,189,199,8
Lightning,KE Bryce & T Graves,KE Bryce,T Graves,KE Bryce & T Graves (Lightning),44,26,18,3
Lightning,KE Bryce & TT Beaumont,KE Bryce,TT Beaumont,KE Bryce & TT Beaumont (Lightning),130,61,50,3
Lightning,KL Gordon & E Claridge,KL Gordon,E Claridge,KL Gordon & E Claridge (Lightning),16,3,12,1
Lightning,KL Gordon & S Munro,KL Gordon,S Munro,KL Gordon & S Munro (Lightning),46,23,15,2
Lightning,KL Gordon & Y Graves,KL Gordon,Y Graves,KL Gordon & Y Graves (Lightning),47,25,19,2
Lightning,LF Higham & E Claridge,LF Higham,E Claridge,LF Higham & E Claridge (Lightning),15,7,7,1
Lightning,LF Higham & KE Bryce,LF Higham,KE Bryce,LF Higham & KE Bryce (Lightning),0,0,0,1
Lightning,LF Higham & SJ Bryce,LF Higham,SJ Bryce,LF Higham & SJ Bryce (Lightning),9,3,3,1
Lightning,LF Higham & T Graves,LF Higham,T Graves,LF Higham & T Graves (Lightning),102,39,54,4
Lightning,LF Higham & TT Beaumont,LF Higham,TT Beaumont,LF Higham & TT Beaumont (Lightning),65,24,35,2
Lightning,LG Kellogg & G Ballinger,LG Kellogg,G Ballinger,LG Kellogg & G Ballinger (Lightning),2,0,1,1
Lightning,LG Kellogg & S Pai,LG Kellogg,S Pai,LG Kellogg & S Pai (Lightning),13,1,6,2
Lightning,ML Kirk & TT Beaumont,ML Kirk,TT Beaumont,ML Kirk & TT Beaumont (Lightning),1,0,1,2
Lightning,N Harman & KE Bryce,N Harman,KE Bryce,N Harman & KE Bryce (Lightning),1,0,0,1
Lightning,N Harman & S Munro,N Harman,S Munro,N Harman & S Munro (Lightning),13,11,2,1
Lightning,N Harman & T Graves,N Harman,T Graves,N Harman & T Graves (Lightning),58,21,30,1
Lightning,S Munro & AJ Freeborn,S Munro,AJ Freeborn,S Munro & AJ Freeborn (Lightning),11,3,8,1
Lightning,S Munro & E Claridge,S Munro,E Claridge,S Munro & E Claridge (Lightning),3,3,0,1
Lightning,S Pai & AJ Freeborn,S Pai,AJ Freeborn,S Pai & AJ Freeborn (Lightning),19,8,10,2
Lightning,S Pai & ML Kirk,S Pai,ML Kirk,S Pai & ML Kirk (Lightning),18,9,6,1
Lightning,S Pai & T Graves,S Pai,T Graves,S Pai & T Graves (Lightning),18,9,5,1
Lightning,SB Odedra & AJ Freeborn,SB Odedra,AJ Freeborn,SB Odedra & AJ Freeborn (Lightning),51,24,21,1
Lightning,SB Odedra & TT Beaumont,SB Odedra,TT Beaumont,SB Odedra & TT Beaumont (Lightning),34,15,17,1
Lightning,SJ Bryce & B Ellis,SJ Bryce,B Ellis,SJ Bryce & B Ellis (Lightning),280,135,116,5
Lightning,SJ Bryce & B Harmer,SJ Bryce,B Harmer,SJ Bryce & B Harmer (Lightning),51,30,19,2
Lightning,SJ Bryce & ML Kirk,SJ Bryce,ML Kirk,SJ Bryce & ML Kirk (Lightning),57,16,27,1
Lightning,SJ Bryce & N Harman,SJ Bryce,N Harman,SJ Bryce & N Harman (Lightning),12,12,0,1
Lightning,T Graves & ML Kirk,T Graves,ML Kirk,T Graves & ML Kirk (Lightning),17,5,8,1
Lightning,T Graves & SB Odedra,T Graves,SB Odedra,T Graves & SB Odedra (Lightning),5,5,0,1
Lightning,T Graves & SJ Bryce,T Graves,SJ Bryce,T Graves & SJ Bryce (Lightning),127,65,52,1
Lightning,T Graves & Y Graves,T Graves,Y Graves,T Graves & Y Graves (Lightning),51,25,21,2
Lightning,TT Beaumont & AJ Freeborn,TT Beaumont,AJ Freeborn,TT Beaumont & AJ Freeborn (Lightning),61,18,29,2
Lightning,TT Beaumont & SJ Bryce,TT Beaumont,SJ Bryce,TT Beaumont & SJ Bryce (Lightning),211,99,94,5
Lightning,Y Graves & E Claridge,Y Graves,E Claridge,Y Graves & E Claridge (Lightning),9,8,1,1
Lightning,Y Graves & S Munro,Y Graves,S Munro,Y Graves & S Munro (Lightning),8,5,2,2
Northern Diamonds,A Campbell & HJ Armitage,A Campbell,HJ Armitage,A Campbell & HJ Armitage (Northern Diamonds),55,22,26,1
Northern Diamonds,A Campbell & KH Brunt,A Campbell,KH Brunt,A Campbell & KH Brunt (Northern Diamonds),4,4,0,1
Northern Diamonds,A Campbell & L Dobson,A Campbell,L Dobson,A Campbell & L Dobson (Northern Diamonds),48,26,10,1
Northern Diamonds,A Campbell & RHM Hopkins,A Campbell,RHM Hopkins,A Campbell & RHM Hopkins (Northern Diamonds),19,15,3,1
Northern Diamonds,A Campbell & SL Kalis,A Campbell,SL Kalis,A Campbell & SL Kalis (Northern Diamonds),205,115,72,8
Northern Diamonds,AL MacDonald & BA Langston,AL MacDonald,BA Langston,AL MacDonald & BA Langston (Northern Diamonds),25,12,12,2
Northern Diamonds,AL MacDonald & NR Sciver,AL MacDonald,NR Sciver,AL MacDonald & NR Sciver (Northern Diamonds),84,28,48,1
Northern Diamonds,AL MacDonald & RHM Hopkins,AL MacDonald,RHM Hopkins,AL MacDonald & RHM Hopkins (Northern Diamonds),12,4,5,1
Northern Diamonds,BA Langston & A Campbell,BA Langston,A Campbell,BA Langston & A Campbell (Northern Diamonds),0,0,0,1
Northern Diamonds,BA Langston & BAM Heath,BA Langston,BAM Heath,BA Langston & BAM Heath (Northern Diamonds),91,58,33,1
Northern Diamonds,BA Langston & SL Kalis,BA Langston,SL Kalis,BA Langston & SL Kalis (Northern Diamonds),126,56,61,3
Northern Diamonds,BAM Heath & A Campbell,BAM Heath,A Campbell,BAM Heath & A Campbell (Northern Diamonds),103,49,51,3
Northern Diamonds,BAM Heath & AL MacDonald,BAM Heath,AL MacDonald,BAM Heath & AL MacDonald (Northern Diamonds),45,28,16,2
Northern Diamonds,BAM Heath & HJ Armitage,BAM Heath,HJ Armitage,BAM Heath & HJ Armitage (Northern Diamonds),54,32,22,1
Northern Diamonds,BAM Heath & SL Kalis,BAM Heath,SL Kalis,BAM Heath & SL Kalis (Northern Diamonds),20,6,12,3
Northern Diamonds,HJ Armitage & LCN Smith,HJ Armitage,LCN Smith,HJ Armitage & LCN Smith (Northern Diamonds),35,16,14,1
