batting_team,partnership,batter1,batter2,partner_labels,net_runs,batter1_runs,batter2_runs,matches
Western Storm,E Corney & DR Gibson,E Corney,DR Gibson,E Corney & DR Gibson (Western Storm),10,1,9,1
Western Storm,E Corney & EM Edgcombe,E Corney,EM Edgcombe,E Corney & EM Edgcombe (Western Storm),9,3,6,1
Western Storm,E Corney & LA Parfitt,E Corney,LA Parfitt,E Corney & LA Parfitt (Western Storm),4,3,0,1
Western Storm,FMK Morris & A Shrubsole,FMK Morris,A Shrubsole,FMK Morris & A Shrubsole (Western Storm),30,17,13,1
Western Storm,FMK Morris & GM Hennessy,FMK Morris,GM Hennessy,FMK Morris & GM Hennessy (Western Storm),21,12,5,1
Western Storm,FMK Morris & LA Parfitt,FMK Morris,LA Parfitt,FMK Morris & LA Parfitt (Western Storm),195,109,59,7
Western Storm,FMK Morris & N Harvey,FMK Morris,N Harvey,FMK Morris & N Harvey (Western Storm),0,0,0,1
Western Storm,FMK Morris & NAJ Wraith,FMK Morris,NAJ Wraith,FMK Morris & NAJ Wraith (Western Storm),0,0,0,1
Western Storm,GM Hennessy & SN Luff,GM Hennessy,SN Luff,GM Hennessy & SN Luff (Western Storm),281,133,135,9
Western Storm,HC Knight & FMK Morris,HC Knight,FMK Morris,HC Knight & FMK Morris (Western Storm),158,81,56,4
Western Storm,HC Knight & GM Hennessy,HC Knight,GM Hennessy,HC Knight & GM Hennessy (Western Storm),102,65,33,3
Western Storm,HC Knight & SN Luff,HC Knight,SN Luff,HC Knight & SN Luff (Western Storm),306,142,135,4
Western Storm,KL George & GM Hennessy,KL George,GM Hennessy,KL George & GM Hennessy (Western Storm),31,18,9,1
Western Storm,KL George & HC Knight,KL George,HC Knight,KL George & HC Knight (Western Storm),38,19,17,1
Western Storm,KL George & NAJ Wraith,KL George,NAJ Wraith,KL George & NAJ Wraith (Western Storm),45,16,23,2
Western Storm,L Filer & A Shrubsole,L Filer,A Shrubsole,L Filer & A Shrubsole (Western Storm),43,6,31,1
Western Storm,L Filer & N Harvey,L Filer,N Harvey,L Filer & N Harvey (Western Storm),0,0,0,1
Western Storm,L Filer & S Hutchins,L Filer,S Hutchins,L Filer & S Hutchins (Western Storm),9,3,4,1
Western Storm,L Filer & SN Luff,L Filer,SN Luff,L Filer & SN Luff (Western Storm),8,0,8,1
Western Storm,LA Parfitt & HC Knight,LA Parfitt,HC Knight,LA Parfitt & HC Knight (Western Storm),119,46,65,2
Western Storm,LA Parfitt & N Holland,LA Parfitt,N Holland,LA Parfitt & N Holland (Western Storm),12,12,0,1
Western Storm,MJ Robbins & A Shrubsole,MJ Robbins,A Shrubsole,MJ Robbins & A Shrubsole (Western Storm),0,0,0,1
Western Storm,MJ Robbins & E Corney,MJ Robbins,E Corney,MJ Robbins & E Corney (Western Storm),11,2,6,1
Western Storm,MJ Robbins & L Filer,MJ Robbins,L Filer,MJ Robbins & L Filer (Western Storm),9,4,5,1
Western Storm,N Harvey & A Shrubsole,N Harvey,A Shrubsole,N Harvey & A Shrubsole (Western Storm),62,13,41,2
Western Storm,N Harvey & DR Gibson,N Harvey,DR Gibson,N Harvey & DR Gibson (Western Storm),1,0,1,1
Western Storm,N Harvey & MJ Robbins,N Harvey,MJ Robbins,N Harvey & MJ Robbins (Western Storm),13,9,3,2
Western Storm,N Harvey & NAJ Wraith,N Harvey,NAJ Wraith,N Harvey & NAJ Wraith (Western Storm),29,16,11,1
Western Storm,N Holland & E Corney,N Holland,E Corney,N Holland & E Corney (Western Storm),15,6,9,1
Western Storm,N Holland & S Hutchins,N Holland,S Hutchins,N Holland & S Hutchins (Western Storm),2,2,0,1
Western Storm,NAJ Wraith & A Shrubsole,NAJ Wraith,A Shrubsole,NAJ Wraith & A Shrubsole (Western Storm),20,3,16,1
Western Storm,NAJ Wraith & GM Hennessy,NAJ Wraith,GM Hennessy,NAJ Wraith & GM Hennessy (Western Storm),26,14,9,2
Western Storm,NAJ Wraith & HC Knight,NAJ Wraith,HC Knight,NAJ Wraith & HC Knight (Western Storm),25,13,11,3
Western Storm,NAJ Wraith & LA Parfitt,NAJ Wraith,LA Parfitt,NAJ Wraith & LA Parfitt (Western Storm),10,4,5,1
Western Storm,SN Luff & A Griffiths,SN Luff,A Griffiths,SN Luff & A Griffiths (Western Storm),354,139,179,5
Western Storm,SN Luff & C Skelton,SN Luff,C Skelton,SN Luff & C Skelton (Western Storm),61,25,30,1
Western Storm,SN Luff & DR Gibson,SN Luff,DR Gibson,SN Luff & DR Gibson (Western Storm),141,77,52,3
Western Storm,SN Luff & EM Edgcombe,SN Luff,EM Edgcombe,SN Luff & EM Edgcombe (Western Storm),12,8,4,1
Western Storm,SN Luff & FMK Morris,SN Luff,FMK Morris,SN Luff & FMK Morris (Western Storm),135,44,80,6
Western Storm,SN Luff & J Roberts,SN Luff,J Roberts,SN Luff & J Roberts (Western Storm),2,2,0,1
Western Storm,SN Luff & LA Parfitt,SN Luff,LA Parfitt,SN Luff & LA Parfitt (Western Storm),155,61,82,4
Western Storm,SN Luff & NAJ Wraith,SN Luff,NAJ Wraith,SN Luff & NAJ Wraith (Western Storm),188,86,92,6
Western Storm,SN Luff & S Hutchins,SN Luff,S Hutchins,SN Luff & S Hutchins (Western Storm),0,0,0,1
