match_id,season,start_date,innings,batting_team,bowling_team,partnership,runs_off_bat,net_runs,batter1,batter1_runs,batter2,batter2_runs,message,partner_labels
1229331,2020,31-08-2020,1,South East Stars,Sunrisers,HV Jones & NE Farrant,6,11,HV Jones,3,NE Farrant,3,vs Sunrisers (31-08-2020),HV Jones & NE Farrant (South East Stars)
1229331,2020,31-08-2020,1,South East Stars,Sunrisers,R Southby & FR Davies,4,4,R Southby,2,FR Davies,2,vs Sunrisers (31-08-2020),R Southby & FR Davies (South East Stars)
1229331,2020,31-08-2020,1,South East Stars,Sunrisers,R Southby & NE Farrant,16,19,R Southby,5,NE Farrant,11,vs Sunrisers (31-08-2020),R Southby & NE Farrant (South East Stars)
1229331,2020,31-08-2020,1,South East Stars,Sunrisers,NE Farrant & SE Rowe,40,47,NE Farrant,23,SE Rowe,17,vs Sunrisers (31-08-2020),NE Farrant & SE Rowe (South East Stars)
1229331,2020,31-08-2020,1,South East Stars,Sunrisers,SE Rowe & SIR Dunkley,55,58,SE Rowe,22,SIR Dunkley,33,vs Sunrisers (31-08-2020),SE Rowe & SIR Dunkley (South East Stars)
1229331,2020,31-08-2020,1,South East Stars,Sunrisers,SIR Dunkley & A Capsey,20,23,SIR Dunkley,9,A Capsey,11,vs Sunrisers (31-08-2020),SIR Dunkley & A Capsey (South East Stars)
1229331,2020,31-08-2020,2,Sunrisers,South East Stars,AD Carr & AJ Macleod,10,10,AD Carr,10,AJ Macleod,0,vs South East Stars (31-08-2020),AD Carr & AJ Macleod (Sunrisers)
1229331,2020,31-08-2020,2,Sunrisers,South East Stars,AD Carr & ND Dattani,11,12,AD Carr,9,ND Dattani,2,vs South East Stars (31-08-2020),AD Carr & ND Dattani (Sunrisers)
1229331,2020,31-08-2020,2,Sunrisers,South East Stars,FC Wilson & AD Carr,53,56,FC Wilson,29,AD Carr,24,vs South East Stars (31-08-2020),FC Wilson & AD Carr (Sunrisers)
1229331,2020,31-08-2020,2,Sunrisers,South East Stars,G Scrivens & AD Carr,8,9,G Scrivens,2,AD Carr,6,vs South East Stars (31-08-2020),G Scrivens & AD Carr (Sunrisers)
1229331,2020,31-08-2020,2,Sunrisers,South East Stars,J Gardner & AD Carr,42,42,J Gardner,25,AD Carr,17,vs South East Stars (31-08-2020),J Gardner & AD Carr (Sunrisers)
1229331,2020,31-08-2020,2,Sunrisers,South East Stars,KL Midwood & AD Carr,0,0,KL Midwood,0,AD Carr,0,vs South East Stars (31-08-2020),KL Midwood & AD Carr (Sunrisers)
1229331,2020,31-08-2020,2,Sunrisers,South East Stars,KS Castle & AD Carr,47,52,KS Castle,21,AD Carr,26,vs South East Stars (31-08-2020),KS Castle & AD Carr (Sunrisers)
1229331,2020,31-08-2020,2,Sunrisers,South East Stars,MK Villiers & AD Carr,19,20,MK Villiers,12,AD Carr,7,vs South East Stars (31-08-2020),MK Villiers & AD Carr (Sunrisers)
1229331,2020,31-08-2020,2,Sunrisers,South East Stars,Sonali Patel & KJ Wolfe,0,0,Sonali Patel,0,KJ Wolfe,0,vs South East Stars (31-08-2020),Sonali Patel & KJ Wolfe (Sunrisers)
1229331,2020,31-08-2020,2,Sunrisers,South East Stars,KS Castle & Sonali Patel,11,11,KS Castle,4,Sonali Patel,7,vs South East Stars (31-08-2020),KS Castle & Sonali Patel (Sunrisers)
1229332,2020,31-08-2020,1,Thunder,Central Sparks,A Hartley & Olivia Thomas,0,0,A Hartley,0,Olivia Thomas,0,vs Central Sparks (31-08-2020),A Hartley & Olivia Thomas (Thunder)
1229332,2020,31-08-2020,1,Thunder,Central Sparks,E Threlkeld & EL Lamb,11,12,E Threlkeld,7,EL Lamb,4,vs Central Sparks (31-08-2020),E Threlkeld & EL Lamb (Thunder)
1229332,2020,31-08-2020,1,Thunder,Central Sparks,EL Lamb & GEB Boyce,0,0,EL Lamb,0,GEB Boyce,0,vs Central Sparks (31-08-2020),EL Lamb & GEB Boyce (Thunder)
1229332,2020,31-08-2020,1,Thunder,Central Sparks,HE Jones & Olivia Thomas,4,4,HE Jones,3,Olivia Thomas,1,vs Central Sparks (31-08-2020),HE Jones & Olivia Thomas (Thunder)
1229332,2020,31-08-2020,1,Thunder,Central Sparks,KL Cross & N Brown,15,15,KL Cross,3,N Brown,12,vs Central Sparks (31-08-2020),KL Cross & N Brown (Thunder)
1229332,2020,31-08-2020,1,Thunder,Central Sparks,L Marshall & GEB Boyce,0,0,L Marshall,0,GEB Boyce,0,vs Central Sparks (31-08-2020),L Marshall & GEB Boyce (Thunder)
1229332,2020,31-08-2020,1,Thunder,Central Sparks,N Brown & EL Lamb,5,6,N Brown,3,EL Lamb,2,vs Central Sparks (31-08-2020),N Brown & EL Lamb (Thunder)
1229332,2020,31-08-2020,1,Thunder,Central Sparks,N Brown & S Ecclestone,34,35,N Brown,20,S Ecclestone,14,vs Central Sparks (31-08-2020),N Brown & S Ecclestone (Thunder)
1229332,2020,31-08-2020,1,Thunder,Central Sparks,Olivia Thomas & KL Cross,51,56,Olivia Thomas,15,KL Cross,36,vs Central Sparks (31-08-2020),Olivia Thomas & KL Cross (Thunder)
1229332,2020,31-08-2020,1,Thunder,Central Sparks,S Turner & KL Cross,7,7,S Turner,1,KL Cross,6,vs Central Sparks (31-08-2020),S Turner & KL Cross (Thunder)
1229332,2020,31-08-2020,2,Central Sparks,Thunder,CK Boycott & Marie Kelly,10,10,CK Boycott,5,Marie Kelly,5,vs Thunder (31-08-2020),CK Boycott & Marie Kelly (Central Sparks)
1229332,2020,31-08-2020,2,Central Sparks,Thunder,E Jones & AE Jones,23,28,E Jones,11,AE Jones,12,vs Thunder (31-08-2020),E Jones & AE Jones (Central Sparks)
1229332,2020,31-08-2020,2,Central Sparks,Thunder,GM Davies & Marie Kelly,4,4,GM Davies,1,Marie Kelly,3,vs Thunder (31-08-2020),GM Davies & Marie Kelly (Central Sparks)
1229332,2020,31-08-2020,2,Central Sparks,Thunder,M Home & Marie Kelly,42,45,M Home,17,Marie Kelly,25,vs Thunder (31-08-2020),M Home & Marie Kelly (Central Sparks)
1229332,2020,31-08-2020,2,Central Sparks,Thunder,Marie Kelly & E Jones,21,21,Marie Kelly,5,E Jones,16,vs Thunder (31-08-2020),Marie Kelly & E Jones (Central Sparks)
1229332,2020,31-08-2020,2,Central Sparks,Thunder,S Glenn & Marie Kelly,1,1,S Glenn,0,Marie Kelly,1,vs Thunder (31-08-2020),S Glenn & Marie Kelly (Central Sparks)
1229332,2020,31-08-2020,2,Central Sparks,Thunder,TF Brookes & Marie Kelly,26,27,TF Brookes,6,Marie Kelly,20,vs Thunder (31-08-2020),TF Brookes & Marie Kelly (Central Sparks)
1229333,2020,31-08-2020,1,Northern Diamonds,Lightning,AL MacDonald & NR Sciver,76,84,AL MacDonald,28,NR Sciver,48,vs Lightning (31-08-2020),AL MacDonald & NR Sciver (Northern Diamonds)
1229333,2020,31-08-2020,1,Northern Diamonds,Lightning,JL Gunn & NR Sciver,48,55,JL Gunn,20,NR Sciver,28,vs Lightning (31-08-2020),JL Gunn & NR Sciver (Northern Diamonds)
