player,overs_bowled,wickets_taken,econ_rate,bowling_average,bowler_strikerate,inv_econ_rate,inv_bowling_average,inv_bowler_strikerate,overs_bowled_scaled,wickets_taken_scaled,econ_rate_scaled,bowling_average_scaled,bowler_strikerate_scaled,bowler_score,bowler_score_scaled
E Thorpe,16.0,,7.11,,,0.14064697609001406,,,-0.8573884920319159,,-1.47605329699377,,,-0.8817423933726094,0.0
E Windsor,5.0,,3.0,,,0.3333333333333333,,,-1.1882067263517784,,2.767823282660488,,,-0.8817423933726094,0.0
EA Russell,70.0,10.0,4.72,28.58,36.25,0.21186440677966104,0.03498950314905529,0.027586206896551724,0.7666282946292265,0.31366872933445633,0.09249566771204465,-0.6725837513631974,-0.6071203238331727,-0.005032787886200471,0.3429205905657335
EF Telford,14.0,,7.47,,,0.13386880856760375,,,-0.9175372619082546,,-1.625341014156878,,,-0.8817423933726094,0.0
EL Arlott,104.0,14.0,4.55,31.54,41.32,0.21978021978021978,0.031705770450221944,0.02420135527589545,1.7891573825269829,0.9083013915798711,0.2668397877764074,-0.8384012005006158,-0.8773793147805214,0.2621212954102289,0.4474165781113826
EL Lamb,44.0,3.0,4.53,27.0,40.0,0.22075055187637968,0.037037037037037035,0.025,-0.01530571376317539,-0.7269384295950195,0.28821114855302826,-0.5691901814638634,-0.8136125854075892,-0.42690828541862735,0.1779060933437395
EM Edgcombe,14.0,1.0,5.11,39.0,48.0,0.19569471624266144,0.02564102564102564,0.020833333333333332,-0.9175372619082546,-1.0242547607177268,-0.26363837287068015,-1.1446504010788536,-1.1462945623885938,-0.8651301051202905,0.006497813714465677
Emma Jones,7.0,1.0,5.16,16.0,18.0,0.19379844961240308,0.0625,0.05555555555555555,-1.1280579564754396,-1.0242547607177268,-0.30540324743712977,0.7166037467383807,1.6260552457864434,-0.19105676509142155,0.27015823947091605
FMK Morris,94.0,16.0,5.11,27.9,36.25,0.19569471624266144,0.03584229390681004,0.027586206896551724,1.48841353314529,1.2056177227025784,-0.26363837287068015,-0.6295206883589829,-0.6071203238331727,0.3052620206918025,0.46429085768857903
FR Davies,49.0,3.0,4.31,42.67,52.0,0.2320185614849188,0.02343566908835247,0.019230769230769232,0.13506621092767113,-0.7269384295950195,0.5363866953905891,-1.256013484356819,-1.2742491689197493,-0.5294647854354622,0.13779162974935966
G Ballinger,37.0,4.0,5.91,43.67,42.0,0.1692047377326565,0.02289901534234028,0.023809523809523808,-0.22582640833036052,-0.5782802640336658,-0.8470745901644309,-1.2831126922994742,-0.9086645788307336,-0.7831386642406233,0.038568356972847696
G Scrivens,73.0,7.0,5.38,38.29,48.0,0.1858736059479554,0.026116479498563595,0.020833333333333332,0.8568514494437345,-0.13230576734960472,-0.47994626597840223,-1.1206415815219208,-1.1462945623885938,-0.4701067225488329,0.1610092400647247
GA Elwiss,54.0,5.0,4.66,41.6,55.2,0.2145922746781116,0.024038461538461536,0.018115942028985508,0.28543813561851766,-0.4296220984723121,0.1525763856842372,-1.2255744944622116,-1.3632610691153357,-0.5077581707235718,0.14628206385616344
GEB Boyce,1.0,,10.0,,,0.1,,,-1.3085042661044555,,-2.3712944148916386,,,-0.8817423933726094,0.0
GJ Gibbs,41.0,4.0,6.83,23.67,32.0,0.14641288433382138,0.042247570764681025,0.03125,-0.1055288685776833,-0.5782802640336658,-1.3490603780014332,-0.30607576546119214,-0.31458961993608253,-0.6669534513523,0.08401362364876636
GK Davis,59.0,13.0,3.94,27.7,38.83,0.25380710659898476,0.036101083032490974,0.025753283543651816,0.4358100603093642,0.7596432260185174,1.0162748288174857,-0.6164527085261052,-0.7534676593605469,0.3742284454442489,0.4912667308366721
GKS Gole,27.0,1.0,6.35,31.0,24.0,0.15748031496062992,0.03225806451612903,0.041666666666666664,-0.5265702577120536,-1.0242547607177268,-1.1053025411414523,-0.8105122090443431,0.5171153225164286,-0.7563655854372437,0.04904051324564692
GL Adams,78.0,19.0,4.28,15.86,22.55,0.2336448598130841,0.06305170239596469,0.044345898004434586,1.007223374134581,1.6515922193866395,0.5722055747610479,0.744462860853963,0.731034997293571,1.0753741288737768,0.7655163687208961
GM Hennessy,111.0,20.0,4.78,24.31,32.35,0.20920502092050208,0.04113533525298231,0.030911901081916538,1.999678077094168,1.8002503849479932,0.03392325228308619,-0.3622399153189002,-0.34158467989203734,0.7229911816230365,0.627683536024288
HC Knight,23.0,3.0,6.15,24.0,30.0,0.16260162601626016,0.041666666666666664,0.03333333333333333,-0.6468677974647308,-0.7269384295950195,-0.9925067399386293,-0.33540946724527354,-0.14824863144558034,-0.6437941614995297,0.09307226439331343
HE Jones,93.0,18.0,4.1,21.01,30.09,0.24390243902439027,0.047596382674916705,0.03323363243602526,1.4583391482071206,1.5029340538252858,0.798126604156189,-0.03597876664449997,-0.15620911743515575,0.8447940473675692,0.6753261196030775
HJ Armitage,52.0,8.0,5.01,13.12,21.75,0.1996007984031936,0.07621951219512195,0.04597701149425287,0.22528936574217906,0.016352398211748952,-0.1776077330451792,1.4093929364349334,0.861269091807123,0.31400279854682217,0.4677097693616001
HL Baker,20.0,4.0,3.75,28.84,40.0,0.26666666666666666,0.03467406380027739,0.025,-0.7370909522792387,-0.5782802640336658,1.2995039405027373,-0.6885123767931851,-0.8136125854075892,-0.16860941243186006,0.2789384095323395
HL Fenby,11.0,,6.3,,,0.15873015873015872,,,-1.0077604167227625,,-1.077774994419335,,,-0.8817423933726094,0.0
HV Jones,53.0,7.0,4.63,24.62,36.75,0.2159827213822894,0.04061738424045491,0.027210884353741496,0.25536375068034833,-0.13230576734960472,0.18320068253399396,-0.38839469816890193,-0.6370874547646074,-0.14817627171235237,0.2869307306370669
IECM Wong,86.0,17.0,5.06,20.69,31.14,0.19762845849802374,0.04833252779120348,0.03211303789338471,1.2478184536399355,1.354275888263932,-0.22104810552623683,0.001194084063174505,-0.2456815033167033,0.5121661387179812,0.545220371748887
