match_id,season,start_date,batting_team,bowling_team,bowler,wicket_type,player_dismissed
1229339,2020,11-09-2020,South East Stars,Western Storm,A Griffiths,caught,HV Jones
1229339,2020,11-09-2020,South East Stars,Western Storm,GM Hennessy,caught,E Gray
1229339,2020,11-09-2020,South East Stars,Western Storm,A Griffiths,caught,M Blythin
1229339,2020,11-09-2020,South East Stars,Western Storm,GM Hennessy,caught,GJ Gibbs
1229339,2020,11-09-2020,Western Storm,South East Stars,NE Farrant,bowled,FMK Morris
1229339,2020,11-09-2020,Western Storm,South East Stars,MS Belt,caught,LA Parfitt
1229339,2020,11-09-2020,Western Storm,South East Stars,HV Jones,bowled,GM Hennessy
1229340,2020,11-09-2020,Southern Vipers,Sunrisers,G Scrivens,run out,EM McCaughan
1229340,2020,11-09-2020,Southern Vipers,Sunrisers,J Gardner,lbw,ME Bouchier
1229340,2020,11-09-2020,Southern Vipers,Sunrisers,G Scrivens,caught,CE Dean
1229340,2020,11-09-2020,Southern Vipers,Sunrisers,KL Midwood,caught,PJ Scholfield
1229340,2020,11-09-2020,Southern Vipers,Sunrisers,KL Midwood,caught,E Windsor
1229340,2020,11-09-2020,Southern Vipers,Sunrisers,Sonali Patel,run out,GL Adams
1229340,2020,11-09-2020,Southern Vipers,Sunrisers,Sonali Patel,lbw,TG Norris
1229340,2020,11-09-2020,Southern Vipers,Sunrisers,KJ Wolfe,bowled,CE Rudd
1229340,2020,11-09-2020,Southern Vipers,Sunrisers,KJ Wolfe,run out,AZ Monaghan
1229340,2020,11-09-2020,Southern Vipers,Sunrisers,J Gardner,run out,PAC Cowdrill
1229340,2020,11-09-2020,Sunrisers,Southern Vipers,TG Norris,caught,AD Carr
1229340,2020,11-09-2020,Sunrisers,Southern Vipers,CM Taylor,caught,CL Griffith
1229340,2020,11-09-2020,Sunrisers,Southern Vipers,PJ Scholfield,caught,ND Dattani
1229340,2020,11-09-2020,Sunrisers,Southern Vipers,CE Dean,stumped,AJ Macleod
1229340,2020,11-09-2020,Sunrisers,Southern Vipers,TG Norris,lbw,G Scrivens
1229340,2020,11-09-2020,Sunrisers,Southern Vipers,GL Adams,caught,KS Castle
1229340,2020,11-09-2020,Sunrisers,Southern Vipers,CE Dean,caught,J Gardner
1229340,2020,11-09-2020,Sunrisers,Southern Vipers,TG Norris,caught,Sonali Patel
1229340,2020,11-09-2020,Sunrisers,Southern Vipers,PAC Cowdrill,bowled,KJ Wolfe
1229340,2020,11-09-2020,Sunrisers,Southern Vipers,PAC Cowdrill,caught,E Thorpe
1229341,2020,11-09-2020,Lightning,Central Sparks,EA Russell,bowled,SJ Bryce
1229341,2020,11-09-2020,Lightning,Central Sparks,EA Russell,lbw,B Ellis
1229341,2020,11-09-2020,Lightning,Central Sparks,Anisha Patel,caught,KE Bryce
1229341,2020,11-09-2020,Lightning,Central Sparks,Anisha Patel,caught,T Graves
1229341,2020,11-09-2020,Lightning,Central Sparks,Anisha Patel,caught,LF Higham
1229341,2020,11-09-2020,Lightning,Central Sparks,GK Davis,bowled,N Harman
1229341,2020,11-09-2020,Lightning,Central Sparks,EL Arlott,caught,AJ Freeborn
1229341,2020,11-09-2020,Lightning,Central Sparks,EL Arlott,run out,S Pai
1229341,2020,11-09-2020,Central Sparks,Lightning,LG Kellogg,bowled,E Jones
1229341,2020,11-09-2020,Central Sparks,Lightning,AD Presland,lbw,GM Davies
1229341,2020,11-09-2020,Central Sparks,Lightning,T Graves,bowled,Marie Kelly
1229341,2020,11-09-2020,Central Sparks,Lightning,AD Presland,bowled,P Davies
1229341,2020,11-09-2020,Central Sparks,Lightning,AD Presland,lbw,M Home
1229341,2020,11-09-2020,Central Sparks,Lightning,T Graves,caught,CAE Hill
1229341,2020,11-09-2020,Central Sparks,Lightning,KE Bryce,caught,EL Arlott
1229341,2020,11-09-2020,Central Sparks,Lightning,KE Bryce,run out,GK Davis
1229341,2020,11-09-2020,Central Sparks,Lightning,KE Bryce,run out,EA Russell
1229342,2020,13-09-2020,Southern Vipers,Western Storm,FMK Morris,bowled,EM McCaughan
1229342,2020,13-09-2020,Western Storm,Southern Vipers,CE Dean,lbw,LA Parfitt
1229342,2020,13-09-2020,Western Storm,Southern Vipers,PJ Scholfield,caught,FMK Morris
1229342,2020,13-09-2020,Western Storm,Southern Vipers,CE Dean,stumped,GM Hennessy
1229342,2020,13-09-2020,Western Storm,Southern Vipers,CE Dean,stumped,NAJ Wraith
1229342,2020,13-09-2020,Western Storm,Southern Vipers,CM Taylor,caught,A Griffiths
1229342,2020,13-09-2020,Western Storm,Southern Vipers,CM Taylor,caught,SN Luff
1229342,2020,13-09-2020,Western Storm,Southern Vipers,CM Taylor,caught,EM Edgcombe
1229342,2020,13-09-2020,Western Storm,Southern Vipers,CM Taylor,caught,E Corney
1229342,2020,13-09-2020,Western Storm,Southern Vipers,GL Adams,bowled,N Holland
1229342,2020,13-09-2020,Western Storm,Southern Vipers,GL Adams,caught,S Hutchins
1229343,2020,13-09-2020,Sunrisers,South East Stars,NE Farrant,caught,AD Carr
1229343,2020,13-09-2020,Sunrisers,South East Stars,NE Farrant,lbw,AJ Macleod
1229343,2020,13-09-2020,Sunrisers,South East Stars,C Brewer,caught,CL Griffith
1229343,2020,13-09-2020,Sunrisers,South East Stars,D Gregory,caught,ND Dattani
1229343,2020,13-09-2020,Sunrisers,South East Stars,D Gregory,caught,KS Castle
1229343,2020,13-09-2020,Sunrisers,South East Stars,HV Jones,run out,H Brown
1229343,2020,13-09-2020,Sunrisers,South East Stars,AG Gordon,run out,G Scrivens
1229343,2020,13-09-2020,Sunrisers,South East Stars,HV Jones,stumped,J Gardner
1229343,2020,13-09-2020,Sunrisers,South East Stars,HV Jones,stumped,KL Midwood
1229343,2020,13-09-2020,Sunrisers,South East Stars,NE Farrant,bowled,KJ Wolfe
1229343,2020,13-09-2020,South East Stars,Sunrisers,KJ Wolfe,lbw,KE White
1229343,2020,13-09-2020,South East Stars,Sunrisers,G Scrivens,caught,C Brewer
1229343,2020,13-09-2020,South East Stars,Sunrisers,J Gardner,caught,A Cranstone
1229343,2020,13-09-2020,South East Stars,Sunrisers,J Gardner,bowled,AG Gordon
1229344,2020,13-09-2020,Thunder,Lightning,KE Bryce,caught and bowled,L Marshall
1229344,2020,13-09-2020,Thunder,Lightning,KE Bryce,lbw,L Jackson
1229344,2020,13-09-2020,Thunder,Lightning,AD Presland,lbw,E Threlkeld
1229344,2020,13-09-2020,Thunder,Lightning,B Ellis,run out,GEB Boyce
1229344,2020,13-09-2020,Thunder,Lightning,LF Higham,lbw,DL Collins
1229344,2020,13-09-2020,Thunder,Lightning,B Ellis,run out,N Brown
1229344,2020,13-09-2020,Thunder,Lightning,B Ellis,caught,AE Dyson
1229344,2020,13-09-2020,Thunder,Lightning,KE Bryce,bowled,L Heap
1229344,2020,13-09-2020,Thunder,Lightning,KE Bryce,stumped,R Duckworth
1229344,2020,13-09-2020,Lightning,Thunder,HE Jones,lbw,B Ellis
1229344,2020,13-09-2020,Lightning,Thunder,N Brown,bowled,SJ Bryce
1229344,2020,13-09-2020,Lightning,Thunder,A Hartley,stumped,KE Bryce
1229344,2020,13-09-2020,Lightning,Thunder,A Hartley,stumped,LF Higham
1229344,2020,13-09-2020,Lightning,Thunder,L Heap,caught,T Graves
1229344,2020,13-09-2020,Lightning,Thunder,A Hartley,caught and bowled,N Harman
1229344,2020,13-09-2020,Lightning,Thunder,A Hartley,lbw,S Pai
1229344,2020,13-09-2020,Lightning,Thunder,L Heap,bowled,S Munro
1229344,2020,13-09-2020,Lightning,Thunder,L Heap,caught,AD Presland
1229344,2020,13-09-2020,Lightning,Thunder,HE Jones,bowled,AJ Freeborn
1229345,2020,13-09-2020,Northern Diamonds,Central Sparks,EA Russell,bowled,HJ Armitage
1229345,2020,13-09-2020,Northern Diamonds,Central Sparks,HL Baker,stumped,RHM Hopkins
1229345,2020,13-09-2020,Northern Diamonds,Central Sparks,HL Baker,caught,A Campbell
1229345,2020,13-09-2020,Northern Diamonds,Central Sparks,HL Baker,lbw,AL MacDonald
1229345,2020,13-09-2020,Northern Diamonds,Central Sparks,Anisha Patel,bowled,JL Gunn
1229345,2020,13-09-2020,Northern Diamonds,Central Sparks,Anisha Patel,lbw,BAM Heath
1229345,2020,13-09-2020,Northern Diamonds,Central Sparks,EA Russell,caught,SL Kalis
1229345,2020,13-09-2020,Northern Diamonds,Central Sparks,EA Russell,lbw,PC Graham
1229345,2020,13-09-2020,Northern Diamonds,Central Sparks,EA Russell,caught,HL Fenby
1229345,2020,13-09-2020,Northern Diamonds,Central Sparks,EL Arlott,bowled,BA Langston
1229345,2020,13-09-2020,Central Sparks,Northern Diamonds,BA Langston,lbw,GM Davies
1229345,2020,13-09-2020,Central Sparks,Northern Diamonds,AL MacDonald,lbw,Marie Kelly
1229345,2020,13-09-2020,Central Sparks,Northern Diamonds,KA Levick,caught and bowled,E Jones
1229345,2020,13-09-2020,Central Sparks,Northern Diamonds,BA Langston,lbw,M Home
1229346,2020,19-09-2020,South East Stars,Southern Vipers,TG Norris,caught,BF Smith
1229346,2020,19-09-2020,South East Stars,Southern Vipers,CM Taylor,lbw,A Cranstone
1229346,2020,19-09-2020,South East Stars,Southern Vipers,PJ Scholfield,caught,A Capsey
1229346,2020,19-09-2020,South East Stars,Southern Vipers,LK Bell,caught,C Brewer
