match_id,Team1,Team1_batting_score,Team1_bowling_score,Team2,Team2_batting_score,Team2_bowling_score,Winner
1252284,Northern Diamonds,0.4077147650251017,0.539886649350545,Thunder,0.2728040367818936,0.4079455244501337,Northern Diamonds
1252285,Central Sparks,0.38767474529346885,0.46774870905883953,South East Stars,0.29588898408602565,0.3562479054479602,Central Sparks
1252286,Western Storm,0.4610040603306716,0.2713220132393655,Lightning,0.4027980266280616,0.47898075437107235,Western Storm
1252287,Southern Vipers,0.41396826323637426,0.5990954236273003,Sunrisers,0.3557582349663417,0.18998563861201137,Southern Vipers
1252288,Lightning,0.3701132797638012,0.3945962435447567,Central Sparks,0.38767474529346885,0.46774870905883953,Lightning
1252289,Thunder,0.24961397048028353,0.40966008525639824,South East Stars,0.2739375622106068,0.2736315632181948,Thunder
1252290,Western Storm,0.4610040603306716,0.2713220132393655,Sunrisers,0.3604929012061382,0.21597348625777263,Western Storm
1252291,Northern Diamonds,0.4077147650251017,0.44584717492799664,Southern Vipers,0.41396826323637426,0.5990954236273003,Southern Vipers
1252292,Central Sparks,0.38767474529346885,0.46774870905883953,Northern Diamonds,0.4077147650251017,0.5866408773786075,Northern Diamonds
1252293,Northern Diamonds,0.44893890223752947,0.5937895325722399,Southern Vipers,0.41396826323637426,0.5990954236273003,Southern Vipers
