batting_team,partnership,batter1,batter2,batter1_runs,batter2_runs,from_node,to_node
South East Stars,KE White & BF Smith,KE White,BF Smith,6,17,KE White,BF Smith
South East Stars,KE White & C Brewer,KE White,C Brewer,30,28,C Brewer,KE White
South East Stars,KE White & K Moore,KE White,K Moore,1,7,KE White,K Moore
South East Stars,KE White & SIR Dunkley,KE White,SIR Dunkley,15,16,KE White,SIR Dunkley
South East Stars,KM Chathli & Emma Jones,KM Chathli,Emma Jones,11,5,Emma Jones,KM Chathli
South East Stars,M Blythin & A Cranstone,M Blythin,A Cranstone,6,22,M Blythin,A Cranstone
South East Stars,M Blythin & AG Gordon,M Blythin,AG Gordon,1,0,AG Gordon,M Blythin
South East Stars,M Blythin & E Gray,M Blythin,E Gray,1,1,M Blythin,E Gray
South East Stars,M Blythin & KE White,M Blythin,KE White,19,30,M Blythin,KE White
South East Stars,M Blythin & R Southby,M Blythin,R Southby,2,1,R Southby,M Blythin
South East Stars,MS Belt & AG Gordon,MS Belt,AG Gordon,0,1,MS Belt,AG Gordon
South East Stars,NE Farrant & KE White,NE Farrant,KE White,1,1,NE Farrant,KE White
South East Stars,NE Farrant & M Blythin,NE Farrant,M Blythin,10,18,NE Farrant,M Blythin
South East Stars,NE Farrant & PA Franklin,NE Farrant,PA Franklin,1,2,NE Farrant,PA Franklin
South East Stars,NE Farrant & SE Rowe,NE Farrant,SE Rowe,27,20,SE Rowe,NE Farrant
South East Stars,PA Franklin & A Cranstone,PA Franklin,A Cranstone,28,17,A Cranstone,PA Franklin
South East Stars,PA Franklin & C Brewer,PA Franklin,C Brewer,7,9,PA Franklin,C Brewer
South East Stars,PA Franklin & KM Chathli,PA Franklin,KM Chathli,32,14,KM Chathli,PA Franklin
South East Stars,R MacDonald-Gay & Emma Jones,R MacDonald-Gay,Emma Jones,0,8,R MacDonald-Gay,Emma Jones
South East Stars,R MacDonald-Gay & K Moore,R MacDonald-Gay,K Moore,0,10,R MacDonald-Gay,K Moore
South East Stars,R Southby & FR Davies,R Southby,FR Davies,2,2,R Southby,FR Davies
South East Stars,R Southby & HV Jones,R Southby,HV Jones,5,0,HV Jones,R Southby
South East Stars,R Southby & MS Belt,R Southby,MS Belt,3,5,R Southby,MS Belt
South East Stars,R Southby & NE Farrant,R Southby,NE Farrant,11,15,R Southby,NE Farrant
South East Stars,R Southby & SIR Dunkley,R Southby,SIR Dunkley,6,30,R Southby,SIR Dunkley
South East Stars,SE Rowe & A Capsey,SE Rowe,A Capsey,1,0,A Capsey,SE Rowe
South East Stars,SE Rowe & A Cranstone,SE Rowe,A Cranstone,8,0,A Cranstone,SE Rowe
South East Stars,SE Rowe & SIR Dunkley,SE Rowe,SIR Dunkley,22,33,SE Rowe,SIR Dunkley
South East Stars,SIR Dunkley & A Capsey,SIR Dunkley,A Capsey,22,18,A Capsey,SIR Dunkley
South East Stars,SIR Dunkley & A Cranstone,SIR Dunkley,A Cranstone,34,15,A Cranstone,SIR Dunkley
South East Stars,SIR Dunkley & BF Smith,SIR Dunkley,BF Smith,0,12,SIR Dunkley,BF Smith
South East Stars,SIR Dunkley & GJ Gibbs,SIR Dunkley,GJ Gibbs,17,31,SIR Dunkley,GJ Gibbs
South East Stars,SIR Dunkley & NE Farrant,SIR Dunkley,NE Farrant,21,12,NE Farrant,SIR Dunkley
Southern Vipers,AZ Monaghan & CE Rudd,AZ Monaghan,CE Rudd,5,19,AZ Monaghan,CE Rudd
