player,batter_score_scaled,bowler_score_scaled
KH Brunt,0.18237487758717888,0.9285209348988358
L Dobson,0.178586787481787,
L Tipton,0.1652430674392413,0.0
L Winfield,0.4395128664713804,
LCN Smith,0.3150661257052107,0.7160289646626912
NR Sciver,0.5161535504128602,0.46000595221115753
PC Graham,0.19457766135161786,0.2955746757124029
R Slater,0.043695875176674684,0.2805253681683747
RHM Hopkins,0.18333911631376432,
SJ Taylor,0.07342742772386333,
SL Kalis,0.6316863720664646,
A Capsey,0.4219595910799785,0.33726593784390335
A Cranstone,0.3704301038344772,
AG Gordon,0.055524649147669206,0.16763671319431012
AN Davidson-Richards,0.37084036048011293,0.25728090120945807
BF Smith,0.5118465577218909,0.5591872130029364
C Brewer,0.37375765521278026,0.17049075696400737
D Gregory,0.02346778681312387,0.4908596132392379
E Gray,0.06736276734307316,0.24739289782916554
Emma Jones,0.1978682559450943,0.27015823947091605
FR Davies,0.19151104393029206,0.13779162974935966
GJ Gibbs,0.289004787589399,0.08401362364876636
HV Jones,0.21470137515178225,0.2869307306370669
K Moore,0.29271305878373144,0.15953427417005592
KE White,0.32203115919793346,
KM Chathli,0.1708794608181752,
M Blythin,0.21114695316741006,
MS Belt,0.2694008801651805,0.03657857031963384
NE Farrant,0.22518217460200557,0.6894359596740012
PA Franklin,0.29755054070554,0.2579274561817345
R MacDonald-Gay,0.002770752293322754,0.4194491591992135
R Southby,0.2073936127490439,
SE Rowe,0.22846631353941493,
SIR Dunkley,0.6111757072936015,0.2656683471417178
AZ Monaghan,0.09079108962043199,0.41662642584008447
CE Dean,0.38791955262021754,0.7022567219055044
CE Rudd,0.23415224232809964,
CM Taylor,0.1573164153606635,1.0
DN Wyatt,0.627236589798195,0.48238138492233934
E Windsor,0.3702282637170802,0.0
EM McCaughan,0.3810795982279273,
ER Chandler,0.18357853470360705,
GA Elwiss,0.5056855324835839,0.14628206385616344
GH Lewis,0.27985934388554023,
GL Adams,0.8952451949903144,0.7655163687208961
LK Bell,0.19667584023778814,0.5636933193848911
ME Bouchier,0.5543396520655693,0.30971317717180163
PAC Cowdrill,0.14687478623562406,0.6387842243307127
PJ Scholfield,0.3478081260685897,0.5569582038861081
TG Norris,0.2234416860882584,0.7285435310093392
AD Carr,0.26368039854022873,
AJ Macleod,0.3979357733860548,0.21059431290067393
CL Griffith,0.5133583783723481,
E Thorpe,0.26262612748247166,0.0
FC Wilson,0.41191967081666736,
G Scrivens,0.4109633083948094,0.1610092400647247
GKS Gole,0.14939484260320388,0.04904051324564692
H Brown,0.1238292952985832,
J Gardner,0.41135666032816454,0.1770064909874787
K Speed,0.057453100192505595,
KJ Wolfe,0.09685150358063518,0.26188167553151537
KL Coppack,0.12136257576936368,0.08807138441268644
KL Midwood,0.2053633038474581,0.13565785512103343
KS Castle,0.32830915021533935,0.39394573820345774
M Rogers,0.22106840238205971,
MK Villiers,0.32075599504363356,0.20790278116608993
ND Dattani,0.38555019503226806,0.02285538834959641
Sonali Patel,0.12175354398518555,0.46640255397747316
A Clarke,0.03672367925588034,
A Hartley,0.21966870941178263,0.8195741761574996
AE Dyson,0.18122715899490052,0.09217613023019161
D Mullan,0.04908256631564898,
DL Collins,0.16384501765107984,
E Threlkeld,0.35401364165001403,
EL Lamb,0.43513450089316397,0.1779060933437395
GEB Boyce,0.45632106360847857,0.0
HE Jones,0.15023830492560677,0.6753261196030775
KL Cross,0.32810200618167445,0.39742082521463545
L Heap,0.15902004210652826,0.18819345818132713
L Jackson,0.1601402213128486,0.5322072456271846
L Marshall,0.25095449928635793,
N Brown,0.3786393261868731,0.15048338173910908
Olivia Thomas,0.061396894526275475,0.0
P Cleary,0.22073394988781994,0.009776362228664069
R Duckworth,0.15732973223925717,
S Ecclestone,0.33290081175256037,0.7685220925564437
S Smale,0.09814647500176332,
S Turner,0.035210340899064795,
A Griffiths,0.5083985904878391,0.18131330098020118
A Shrubsole,0.4865744572567257,0.3178880833036016
B Gammon,0.0,
C Nicholas,0.2894108690000285,0.2422340437469307
C Skelton,0.31867562336223676,0.0
DR Gibson,0.3745885278662698,0.06683163362707609
E Corney,0.17542360676875135,0.2347103552519004
EM Edgcombe,0.19074127566444207,0.006497813714465677
FMK Morris,0.4208689705088599,0.46429085768857903
GM Hennessy,0.4284280982801359,0.627683536024288
HC Knight,0.7712366917362692,0.09307226439331343
J Roberts,0.0,0.0
KL George,0.2156603036064039,0.2289683574440953
L Filer,0.12665855317234015,0.2315208382744641
LA Parfitt,0.3418910028846253,0.0
MJ Robbins,0.07527505636729251,0.0
N Harvey,0.2083253280912734,0.35670189557338505
N Holland,0.09201348344653738,0.09494581821089415
NAJ Wraith,0.295181669255406,
S Hutchins,0.08646456811876108,0.20946894631545288
SN Luff,1.0,0.0035111182396003267
EF Telford,,0.0
,,0.0
