match_id,batting_team,partnership,net_runs,batter1,batter1_runs,batter2,batter2_runs,innings,from_node,to_node,Winner
1229346,Southern Vipers,CE Rudd & E Windsor,72.0,CE Rudd,35.0,E Windsor,34.0,2.0,E Windsor,CE Rudd,Southern Vipers
1229346,Southern Vipers,E Windsor & PJ Scholfield,2.0,E Windsor,1.0,PJ Scholfield,1.0,2.0,E Windsor,PJ Scholfield,Southern Vipers
1229346,Southern Vipers,GL Adams & EM McCaughan,52.0,GL Adams,25.0,EM McCaughan,11.0,2.0,EM McCaughan,GL Adams,Southern Vipers
1229346,Southern Vipers,ME Bouchier & GL Adams,26.0,ME Bouchier,10.0,GL Adams,16.0,2.0,ME Bouchier,GL Adams,Southern Vipers
1229346,Southern Vipers,PJ Scholfield & CE Dean,61.0,PJ Scholfield,30.0,CE Dean,24.0,2.0,CE Dean,PJ Scholfield,Southern Vipers
1229346,Southern Vipers,TG Norris & E Windsor,17.0,TG Norris,5.0,E Windsor,12.0,2.0,TG Norris,E Windsor,Southern Vipers
1229349,Sunrisers,AD Carr & AJ Macleod,11.0,AD Carr,7.0,AJ Macleod,1.0,2.0,AJ Macleod,AD Carr,Western Storm
1229349,Sunrisers,AJ Macleod & M Rogers,17.0,AJ Macleod,12.0,M Rogers,3.0,2.0,M Rogers,AJ Macleod,Western Storm
1229349,Sunrisers,AJ Macleod & CL Griffith,55.0,AJ Macleod,9.0,CL Griffith,41.0,2.0,AJ Macleod,CL Griffith,Western Storm
1229349,Sunrisers,G Scrivens & J Gardner,69.0,G Scrivens,41.0,J Gardner,26.0,2.0,J Gardner,G Scrivens,Western Storm
1229349,Sunrisers,G Scrivens & Sonali Patel,5.0,G Scrivens,5.0,Sonali Patel,0.0,2.0,Sonali Patel,G Scrivens,Western Storm
1229349,Sunrisers,KS Castle & J Gardner,26.0,KS Castle,17.0,J Gardner,6.0,2.0,J Gardner,KS Castle,Western Storm
1229349,Sunrisers,KL Midwood & G Scrivens,39.0,KL Midwood,12.0,G Scrivens,26.0,2.0,KL Midwood,G Scrivens,Western Storm
1229349,Sunrisers,KS Castle & M Rogers,12.0,KS Castle,3.0,M Rogers,7.0,2.0,KS Castle,M Rogers,Western Storm
1229349,Sunrisers,ND Dattani & AJ Macleod,7.0,ND Dattani,1.0,AJ Macleod,6.0,2.0,ND Dattani,AJ Macleod,Western Storm
1229350,Southern Vipers,GL Adams & CE Dean,5.0,GL Adams,3.0,CE Dean,2.0,1.0,CE Dean,GL Adams,Southern Vipers
1229350,Southern Vipers,CM Taylor & LK Bell,11.0,CM Taylor,1.0,LK Bell,6.0,1.0,CM Taylor,LK Bell,Southern Vipers
1229350,Southern Vipers,E Windsor & AZ Monaghan,3.0,E Windsor,2.0,AZ Monaghan,1.0,1.0,AZ Monaghan,E Windsor,Southern Vipers
1229350,Southern Vipers,CE Rudd & E Windsor,7.0,CE Rudd,1.0,E Windsor,6.0,1.0,CE Rudd,E Windsor,Southern Vipers
1229350,Southern Vipers,E Windsor & CM Taylor,29.0,E Windsor,16.0,CM Taylor,6.0,1.0,CM Taylor,E Windsor,Southern Vipers
1229350,Southern Vipers,E Windsor & GL Adams,7.0,E Windsor,2.0,GL Adams,4.0,1.0,E Windsor,GL Adams,Southern Vipers
1229350,Southern Vipers,GL Adams & EM McCaughan,100.0,GL Adams,57.0,EM McCaughan,35.0,1.0,EM McCaughan,GL Adams,Southern Vipers
1229350,Southern Vipers,ME Bouchier & GL Adams,50.0,ME Bouchier,28.0,GL Adams,16.0,1.0,GL Adams,ME Bouchier,Southern Vipers
1229350,Southern Vipers,GL Adams & PJ Scholfield,3.0,GL Adams,0.0,PJ Scholfield,3.0,1.0,GL Adams,PJ Scholfield,Southern Vipers
1229350,Southern Vipers,TG Norris & E Windsor,16.0,TG Norris,5.0,E Windsor,11.0,1.0,TG Norris,E Windsor,Southern Vipers
1252266,Sunrisers,AD Carr & AJ Macleod,18.0,AD Carr,7.0,AJ Macleod,7.0,2.0,AD Carr,AJ Macleod,South East Stars
1252266,Sunrisers,AJ Macleod & CL Griffith,14.0,AJ Macleod,5.0,CL Griffith,9.0,2.0,AJ Macleod,CL Griffith,South East Stars
1252266,Sunrisers,FC Wilson & AJ Macleod,10.0,FC Wilson,9.0,AJ Macleod,0.0,2.0,AJ Macleod,FC Wilson,South East Stars
1252266,Sunrisers,FC Wilson & ND Dattani,2.0,FC Wilson,1.0,ND Dattani,1.0,2.0,FC Wilson,ND Dattani,South East Stars
