match_id,batting_team,partnership,runs_off_bat,batter1,batter1_runs,batter2,batter2_runs,innings,from_node,to_node,Winner
1252274,Thunder,EL Lamb & GEB Boyce,34.0,EL Lamb,21.0,GEB Boyce,13.0,2.0,GEB Boyce,EL Lamb,Lightning
1252274,Thunder,N Brown & EL Lamb,12.0,N Brown,0.0,EL Lamb,12.0,2.0,N Brown,EL Lamb,Lightning
1252274,Thunder,P Cleary & EL Lamb,11.0,P Cleary,2.0,EL Lamb,9.0,2.0,P Cleary,EL Lamb,Lightning
1252274,Thunder,HE Jones & A Hartley,22.0,HE Jones,8.0,A Hartley,14.0,2.0,HE Jones,A Hartley,Lightning
1252274,Thunder,KL Cross & N Brown,7.0,KL Cross,0.0,N Brown,7.0,2.0,KL Cross,N Brown,Lightning
1252274,Thunder,N Brown & S Ecclestone,3.0,N Brown,2.0,S Ecclestone,1.0,2.0,S Ecclestone,N Brown,Lightning
1252275,Southern Vipers,CE Rudd & DN Wyatt,49.0,CE Rudd,10.0,DN Wyatt,39.0,2.0,CE Rudd,DN Wyatt,Central Sparks
1252275,Southern Vipers,DN Wyatt & E Windsor,27.0,DN Wyatt,13.0,E Windsor,14.0,2.0,DN Wyatt,E Windsor,Central Sparks
1252275,Southern Vipers,GL Adams & DN Wyatt,12.0,GL Adams,3.0,DN Wyatt,9.0,2.0,GL Adams,DN Wyatt,Central Sparks
1252275,Southern Vipers,ME Bouchier & DN Wyatt,1.0,ME Bouchier,1.0,DN Wyatt,0.0,2.0,DN Wyatt,ME Bouchier,Central Sparks
1252275,Southern Vipers,TG Norris & DN Wyatt,1.0,TG Norris,1.0,DN Wyatt,0.0,2.0,DN Wyatt,TG Norris,Central Sparks
1252278,Thunder,A Hartley & DL Collins,4.0,A Hartley,4.0,DL Collins,0.0,2.0,DL Collins,A Hartley,Thunder
1252278,Thunder,L Marshall & DL Collins,19.0,L Marshall,11.0,DL Collins,8.0,2.0,DL Collins,L Marshall,Thunder
1252278,Thunder,E Threlkeld & EL Lamb,8.0,E Threlkeld,6.0,EL Lamb,2.0,2.0,EL Lamb,E Threlkeld,Thunder
1252278,Thunder,EL Lamb & GEB Boyce,63.0,EL Lamb,37.0,GEB Boyce,26.0,2.0,GEB Boyce,EL Lamb,Thunder
1252278,Thunder,E Threlkeld & L Jackson,37.0,E Threlkeld,20.0,L Jackson,17.0,2.0,L Jackson,E Threlkeld,Thunder
1252278,Thunder,L Jackson & L Marshall,34.0,L Jackson,13.0,L Marshall,21.0,2.0,L Jackson,L Marshall,Thunder
1252278,Thunder,N Brown & E Threlkeld,8.0,N Brown,6.0,E Threlkeld,2.0,2.0,E Threlkeld,N Brown,Thunder
1252278,Thunder,P Cleary & E Threlkeld,3.0,P Cleary,1.0,E Threlkeld,2.0,2.0,P Cleary,E Threlkeld,Thunder
1252278,Thunder,R Duckworth & E Threlkeld,2.0,R Duckworth,1.0,E Threlkeld,1.0,2.0,R Duckworth,E Threlkeld,Thunder
1252279,Southern Vipers,GL Adams & DN Wyatt,53.0,GL Adams,25.0,DN Wyatt,28.0,2.0,GL Adams,DN Wyatt,Southern Vipers
1252279,Southern Vipers,ME Bouchier & EM McCaughan,23.0,ME Bouchier,19.0,EM McCaughan,4.0,2.0,EM McCaughan,ME Bouchier,Southern Vipers
1252279,Southern Vipers,ME Bouchier & GL Adams,90.0,ME Bouchier,38.0,GL Adams,52.0,2.0,ME Bouchier,GL Adams,Southern Vipers
1252283,Thunder,AE Dyson & KL Cross,23.0,AE Dyson,6.0,KL Cross,17.0,1.0,AE Dyson,KL Cross,Southern Vipers
1252283,Thunder,E Threlkeld & EL Lamb,1.0,E Threlkeld,0.0,EL Lamb,1.0,1.0,E Threlkeld,EL Lamb,Southern Vipers
1252283,Thunder,EL Lamb & GEB Boyce,9.0,EL Lamb,5.0,GEB Boyce,4.0,1.0,GEB Boyce,EL Lamb,Southern Vipers
1252283,Thunder,EL Lamb & KL Cross,32.0,EL Lamb,11.0,KL Cross,21.0,1.0,EL Lamb,KL Cross,Southern Vipers
1252283,Thunder,HE Jones & KL Cross,2.0,HE Jones,2.0,KL Cross,0.0,1.0,KL Cross,HE Jones,Southern Vipers
1252283,Thunder,KL Cross & A Hartley,1.0,KL Cross,1.0,A Hartley,0.0,1.0,A Hartley,KL Cross,Southern Vipers
1252283,Thunder,L Marshall & KL Cross,5.0,L Marshall,2.0,KL Cross,3.0,1.0,L Marshall,KL Cross,Southern Vipers
1252283,Thunder,KL Cross & N Brown,7.0,KL Cross,6.0,N Brown,1.0,1.0,N Brown,KL Cross,Southern Vipers
1252283,Thunder,L Jackson & KL Cross,13.0,L Jackson,4.0,KL Cross,9.0,1.0,L Jackson,KL Cross,Southern Vipers
1252283,Southern Vipers,E Windsor & AZ Monaghan,4.0,E Windsor,4.0,AZ Monaghan,0.0,2.0,AZ Monaghan,E Windsor,Southern Vipers
1252283,Southern Vipers,CE Rudd & E Windsor,32.0,CE Rudd,13.0,E Windsor,19.0,2.0,CE Rudd,E Windsor,Southern Vipers
1252283,Southern Vipers,E Windsor & EM McCaughan,10.0,E Windsor,2.0,EM McCaughan,8.0,2.0,E Windsor,EM McCaughan,Southern Vipers
1252283,Southern Vipers,GA Elwiss & EM McCaughan,5.0,GA Elwiss,0.0,EM McCaughan,5.0,2.0,GA Elwiss,EM McCaughan,Southern Vipers
1252283,Southern Vipers,GH Lewis & EM McCaughan,26.0,GH Lewis,16.0,EM McCaughan,10.0,2.0,EM McCaughan,GH Lewis,Southern Vipers
1252283,Southern Vipers,GL Adams & EM McCaughan,12.0,GL Adams,2.0,EM McCaughan,10.0,2.0,GL Adams,EM McCaughan,Southern Vipers
1252283,Southern Vipers,PJ Scholfield & EM McCaughan,10.0,PJ Scholfield,2.0,EM McCaughan,8.0,2.0,PJ Scholfield,EM McCaughan,Southern Vipers
1252283,Southern Vipers,TG Norris & E Windsor,1.0,TG Norris,0.0,E Windsor,1.0,2.0,TG Norris,E Windsor,Southern Vipers
1252284,Thunder,AE Dyson & L Marshall,11.0,AE Dyson,3.0,L Marshall,8.0,2.0,AE Dyson,L Marshall,Northern Diamonds
1252284,Thunder,D Mullan & GEB Boyce,21.0,D Mullan,8.0,GEB Boyce,13.0,2.0,D Mullan,GEB Boyce,Northern Diamonds
1252284,Thunder,E Threlkeld & GEB Boyce,35.0,E Threlkeld,13.0,GEB Boyce,22.0,2.0,E Threlkeld,GEB Boyce,Northern Diamonds
1252284,Thunder,N Brown & GEB Boyce,10.0,N Brown,1.0,GEB Boyce,9.0,2.0,N Brown,GEB Boyce,Northern Diamonds
1252284,Thunder,GEB Boyce & S Smale,35.0,GEB Boyce,23.0,S Smale,12.0,2.0,S Smale,GEB Boyce,Northern Diamonds
1252284,Thunder,HE Jones & A Hartley,9.0,HE Jones,3.0,A Hartley,6.0,2.0,HE Jones,A Hartley,Northern Diamonds
1252284,Thunder,L Marshall & HE Jones,2.0,L Marshall,2.0,HE Jones,0.0,2.0,HE Jones,L Marshall,Northern Diamonds
1252284,Thunder,L Jackson & L Marshall,53.0,L Jackson,22.0,L Marshall,31.0,2.0,L Jackson,L Marshall,Northern Diamonds
1252284,Thunder,L Marshall & N Brown,2.0,L Marshall,1.0,N Brown,1.0,2.0,L Marshall,N Brown,Northern Diamonds
1252287,Southern Vipers,GA Elwiss & CE Rudd,3.0,GA Elwiss,2.0,CE Rudd,1.0,1.0,CE Rudd,GA Elwiss,Southern Vipers
1252287,Southern Vipers,GA Elwiss & LK Bell,9.0,GA Elwiss,8.0,LK Bell,1.0,1.0,LK Bell,GA Elwiss,Southern Vipers
1252287,Southern Vipers,GA Elwiss & TG Norris,5.0,GA Elwiss,2.0,TG Norris,3.0,1.0,GA Elwiss,TG Norris,Southern Vipers
1252287,Southern Vipers,GH Lewis & GA Elwiss,38.0,GH Lewis,18.0,GA Elwiss,20.0,1.0,GH Lewis,GA Elwiss,Southern Vipers
1252287,Southern Vipers,GL Adams & EM McCaughan,28.0,GL Adams,5.0,EM McCaughan,23.0,1.0,GL Adams,EM McCaughan,Southern Vipers
1252287,Southern Vipers,GL Adams & GA Elwiss,91.0,GL Adams,35.0,GA Elwiss,56.0,1.0,GL Adams,GA Elwiss,Southern Vipers
1252287,Southern Vipers,ME Bouchier & GL Adams,40.0,ME Bouchier,30.0,GL Adams,10.0,1.0,GL Adams,ME Bouchier,Southern Vipers
1252287,Southern Vipers,PJ Scholfield & GA Elwiss,53.0,PJ Scholfield,29.0,GA Elwiss,24.0,1.0,GA Elwiss,PJ Scholfield,Southern Vipers
1252289,Thunder,AE Dyson & E Threlkeld,28.0,AE Dyson,13.0,E Threlkeld,15.0,1.0,AE Dyson,E Threlkeld,Thunder
1252289,Thunder,E Threlkeld & A Hartley,8.0,E Threlkeld,3.0,A Hartley,5.0,1.0,E Threlkeld,A Hartley,Thunder
1252289,Thunder,E Threlkeld & D Mullan,4.0,E Threlkeld,4.0,D Mullan,0.0,1.0,D Mullan,E Threlkeld,Thunder
1252289,Thunder,E Threlkeld & GEB Boyce,13.0,E Threlkeld,3.0,GEB Boyce,10.0,1.0,E Threlkeld,GEB Boyce,Thunder
1252289,Thunder,HE Jones & E Threlkeld,18.0,HE Jones,9.0,E Threlkeld,9.0,1.0,HE Jones,E Threlkeld,Thunder
1252289,Thunder,L Heap & E Threlkeld,29.0,L Heap,19.0,E Threlkeld,10.0,1.0,E Threlkeld,L Heap,Thunder
1252289,Thunder,E Threlkeld & L Jackson,6.0,E Threlkeld,4.0,L Jackson,2.0,1.0,L Jackson,E Threlkeld,Thunder
1252289,Thunder,L Marshall & E Threlkeld,1.0,L Marshall,1.0,E Threlkeld,0.0,1.0,E Threlkeld,L Marshall,Thunder
1252289,Thunder,N Brown & E Threlkeld,36.0,N Brown,14.0,E Threlkeld,22.0,1.0,N Brown,E Threlkeld,Thunder
