season,batting_team,partnership,batter1,batter2,net_runs,batter1_runs,batter2_runs
2020,Central Sparks,CAE Hill & P Davies,CAE Hill,P Davies,46,23,11
2020,South East Stars,A Cranstone & KE White,A Cranstone,KE White,45,17,15
2020,Northern Diamonds,BAM Heath & AL MacDonald,BAM Heath,AL MacDonald,45,28,16
2021,Thunder,GEB Boyce & P Cleary,GEB Boyce,P Cleary,45,33,11
2021,Central Sparks,E Jones & M Home,E Jones,M Home,45,18,12
2020,Central Sparks,M Home & Marie Kelly,M Home,Marie Kelly,45,17,25
2021,Thunder,L Marshall & KL Cross,L Marshall,KL Cross,45,15,17
2020,Central Sparks,EL Arlott & CK Boycott,EL Arlott,CK Boycott,45,24,20
2021,South East Stars,R Southby & SIR Dunkley,R Southby,SIR Dunkley,44,6,30
2021,Western Storm,L Filer & A Shrubsole,L Filer,A Shrubsole,43,6,31
2020,Northern Diamonds,NR Sciver & LCN Smith,NR Sciver,LCN Smith,42,14,23
2021,Western Storm,KL George & NAJ Wraith,KL George,NAJ Wraith,42,16,21
2020,Sunrisers,J Gardner & AD Carr,J Gardner,AD Carr,42,25,17
2021,South East Stars,GJ Gibbs & BF Smith,GJ Gibbs,BF Smith,41,23,18
2020,Western Storm,SN Luff & FMK Morris,SN Luff,FMK Morris,40,17,18
2021,Sunrisers,KS Castle & MK Villiers,KS Castle,MK Villiers,40,20,18
2020,South East Stars,HV Jones & M Blythin,HV Jones,M Blythin,40,28,9
2020,Central Sparks,E Jones & AE Jones,E Jones,AE Jones,40,14,18
2021,South East Stars,KE White & SIR Dunkley,KE White,SIR Dunkley,40,15,16
2021,Northern Diamonds,R Slater & A Campbell,R Slater,A Campbell,39,6,28
2020,Sunrisers,KL Midwood & G Scrivens,KL Midwood,G Scrivens,39,12,26
2021,Lightning,KE Bryce & T Graves,KE Bryce,T Graves,38,22,16
2020,Western Storm,KL George & HC Knight,KL George,HC Knight,38,19,17
2021,Thunder,KL Cross & GEB Boyce,KL Cross,GEB Boyce,38,29,7
2021,Lightning,G Ballinger & E Claridge,G Ballinger,E Claridge,38,18,19
2021,Central Sparks,CK Boycott & CAE Hill,CK Boycott,CAE Hill,38,16,21
2021,Thunder,S Ecclestone & EL Lamb,S Ecclestone,EL Lamb,37,15,20
2020,Sunrisers,KL Midwood & J Gardner,KL Midwood,J Gardner,37,24,9
2021,Sunrisers,KS Castle & GKS Gole,KS Castle,GKS Gole,37,10,25
2021,Central Sparks,CK Boycott & E Jones,CK Boycott,E Jones,37,17,19
2021,Northern Diamonds,SL Kalis & LCN Smith,SL Kalis,LCN Smith,37,17,17
2021,Southern Vipers,CE Rudd & E Windsor,CE Rudd,E Windsor,37,13,19
2021,Sunrisers,G Scrivens & ND Dattani,G Scrivens,ND Dattani,36,24,10
2021,Southern Vipers,PJ Scholfield & CE Dean,PJ Scholfield,CE Dean,36,14,20
2020,Northern Diamonds,A Campbell & SL Kalis,A Campbell,SL Kalis,36,12,16
2021,Northern Diamonds,HJ Armitage & LCN Smith,HJ Armitage,LCN Smith,35,16,14
2021,Northern Diamonds,L Dobson & SL Kalis,L Dobson,SL Kalis,35,15,19
2021,South East Stars,SIR Dunkley & NE Farrant,SIR Dunkley,NE Farrant,35,21,12
2020,Southern Vipers,ME Bouchier & EM McCaughan,ME Bouchier,EM McCaughan,35,20,13
2020,Thunder,N Brown & S Ecclestone,N Brown,S Ecclestone,35,20,14
2021,Thunder,N Brown & GEB Boyce,N Brown,GEB Boyce,34,8,26
2021,Lightning,SB Odedra & TT Beaumont,SB Odedra,TT Beaumont,34,15,17
2021,Southern Vipers,DN Wyatt & E Windsor,DN Wyatt,E Windsor,34,13,14
2020,South East Stars,NE Farrant & M Blythin,NE Farrant,M Blythin,34,10,18
2020,Southern Vipers,GL Adams & PJ Scholfield,GL Adams,PJ Scholfield,34,22,11
2020,Southern Vipers,TG Norris & E Windsor,TG Norris,E Windsor,33,10,23
2020,Sunrisers,MK Villiers & J Gardner,MK Villiers,J Gardner,33,16,13
2021,Central Sparks,D Perrin & E Jones,D Perrin,E Jones,33,22,10
2020,South East Stars,KE White & A Capsey,KE White,A Capsey,33,15,9
2021,Thunder,EL Lamb & KL Cross,EL Lamb,KL Cross,33,11,21
2021,Northern Diamonds,L Dobson & HJ Armitage,L Dobson,HJ Armitage,33,16,16
2020,Thunder,E Threlkeld & S Ecclestone,E Threlkeld,S Ecclestone,33,15,16
2021,Thunder,AE Dyson & E Threlkeld,AE Dyson,E Threlkeld,32,13,15
2021,South East Stars,K Moore & GJ Gibbs,K Moore,GJ Gibbs,32,18,11
2020,Central Sparks,Marie Kelly & P Davies,Marie Kelly,P Davies,32,16,10
2021,Northern Diamonds,KH Brunt & JL Gunn,KH Brunt,JL Gunn,31,21,8
2021,Thunder,HE Jones & A Hartley,HE Jones,A Hartley,31,11,20
2020,Sunrisers,G Scrivens & ND Dattani,G Scrivens,ND Dattani,31,8,20
2020,Thunder,L Heap & R Duckworth,L Heap,R Duckworth,31,13,10
2021,Southern Vipers,GH Lewis & E Windsor,GH Lewis,E Windsor,31,23,7
2021,Western Storm,DR Gibson & FMK Morris,DR Gibson,FMK Morris,31,20,10
2021,Western Storm,KL George & GM Hennessy,KL George,GM Hennessy,31,18,9
2020,Central Sparks,S Glenn & GM Davies,S Glenn,GM Davies,31,9,14
2021,Sunrisers,AD Carr & AJ Macleod,AD Carr,AJ Macleod,30,17,7
2021,Southern Vipers,ME Bouchier & EM McCaughan,ME Bouchier,EM McCaughan,30,23,4
2021,Thunder,L Heap & E Threlkeld,L Heap,E Threlkeld,30,19,10
2021,Sunrisers,FC Wilson & KS Castle,FC Wilson,KS Castle,30,18,11
2021,Western Storm,FMK Morris & A Shrubsole,FMK Morris,A Shrubsole,30,17,13
2020,South East Stars,M Blythin & A Cranstone,M Blythin,A Cranstone,30,6,22
2021,Central Sparks,GM Davies & CAE Hill,GM Davies,CAE Hill,30,14,13
2021,Central Sparks,TF Brookes & IECM Wong,TF Brookes,IECM Wong,29,16,11
2020,Southern Vipers,TG Norris & CE Dean,TG Norris,CE Dean,29,10,17
2020,Southern Vipers,ME Bouchier & DN Wyatt,ME Bouchier,DN Wyatt,29,17,12
2020,Northern Diamonds,PC Graham & JL Gunn,PC Graham,JL Gunn,29,15,8
2021,Western Storm,N Harvey & NAJ Wraith,N Harvey,NAJ Wraith,29,16,11
2020,Southern Vipers,E Windsor & CM Taylor,E Windsor,CM Taylor,29,16,6
2021,Northern Diamonds,KA Levick & A Campbell,KA Levick,A Campbell,28,8,19
2021,Central Sparks,EL Arlott & CK Boycott,EL Arlott,CK Boycott,28,10,15
2021,Western Storm,DR Gibson & NAJ Wraith,DR Gibson,NAJ Wraith,28,12,14
2020,Thunder,E Threlkeld & L Jackson,E Threlkeld,L Jackson,28,16,3
2021,Thunder,S Ecclestone & KL Cross,S Ecclestone,KL Cross,28,22,5
2020,Thunder,DL Collins & L Jackson,DL Collins,L Jackson,28,18,7
2020,Northern Diamonds,L Tipton & A Campbell,L Tipton,A Campbell,28,14,11
2021,Thunder,AE Dyson & KL Cross,AE Dyson,KL Cross,28,6,17
2021,Southern Vipers,GH Lewis & EM McCaughan,GH Lewis,EM McCaughan,28,16,10
2021,Thunder,A Hartley & N Brown,A Hartley,N Brown,27,12,14
2021,South East Stars,A Capsey & KM Chathli,A Capsey,KM Chathli,27,13,10
2020,Northern Diamonds,HL Fenby & BA Langston,HL Fenby,BA Langston,27,11,13
2020,Thunder,DL Collins & N Brown,DL Collins,N Brown,27,7,10
2020,Central Sparks,TF Brookes & Marie Kelly,TF Brookes,Marie Kelly,27,6,20
2021,Sunrisers,M Rogers & J Gardner,M Rogers,J Gardner,26,8,17
2020,Thunder,L Jackson & L Marshall,L Jackson,L Marshall,26,2,15
2020,Southern Vipers,E Windsor & CE Dean,E Windsor,CE Dean,26,14,11
2020,Lightning,AJ Freeborn & T Graves,AJ Freeborn,T Graves,26,13,10
2020,Southern Vipers,AZ Monaghan & CE Rudd,AZ Monaghan,CE Rudd,26,5,19
2021,South East Stars,A Cranstone & GJ Gibbs,A Cranstone,GJ Gibbs,25,16,7
2020,Sunrisers,Sonali Patel & KL Midwood,Sonali Patel,KL Midwood,25,13,10
2021,Thunder,D Mullan & GEB Boyce,D Mullan,GEB Boyce,25,8,13
2020,South East Stars,HV Jones & PA Franklin,HV Jones,PA Franklin,24,8,8
2020,Sunrisers,J Gardner & H Brown,J Gardner,H Brown,24,14,10
2020,Western Storm,NAJ Wraith & GM Hennessy,NAJ Wraith,GM Hennessy,24,12,9
2021,South East Stars,KE White & BF Smith,KE White,BF Smith,24,6,17
2021,Thunder,N Brown & EL Lamb,N Brown,EL Lamb,24,8,16
2020,Lightning,B Ellis & KE Bryce,B Ellis,KE Bryce,24,7,15
2021,Central Sparks,GK Davis & EL Arlott,GK Davis,EL Arlott,23,13,9
2021,Thunder,L Marshall & DL Collins,L Marshall,DL Collins,23,11,8
2021,Thunder,S Ecclestone & GEB Boyce,S Ecclestone,GEB Boyce,23,12,9
2020,Western Storm,HC Knight & GM Hennessy,HC Knight,GM Hennessy,23,13,10
2021,Central Sparks,S Glenn & GM Davies,S Glenn,GM Davies,23,11,12
2020,South East Stars,SIR Dunkley & A Capsey,SIR Dunkley,A Capsey,23,9,11
2020,South East Stars,R Southby & NE Farrant,R Southby,NE Farrant,23,7,13
2020,Northern Diamonds,HL Fenby & PC Graham,HL Fenby,PC Graham,22,6,15
2021,Sunrisers,MK Villiers & AD Carr,MK Villiers,AD Carr,22,13,7
