match_id,season,start_date,innings,batting_team,bowling_team,bowler,wicketcounts,bowler_labels,message
1252283,2021,10-09-2021,2,Southern Vipers,Thunder,KL Cross,2,KL Cross (Thunder),vs Southern Vipers (10-09-2021)
1229326,2020,29-08-2020,1,Sunrisers,Southern Vipers,CE Dean,2,CE Dean (Southern Vipers),vs Sunrisers (29-08-2020)
1252283,2021,10-09-2021,2,Southern Vipers,Thunder,HE Jones,2,HE Jones (Thunder),vs Southern Vipers (10-09-2021)
1252269,2021,31-05-2021,2,Western Storm,Central Sparks,EL Arlott,2,EL Arlott (Central Sparks),vs Western Storm (31-05-2021)
1252270,2021,31-05-2021,1,South East Stars,Southern Vipers,CE Dean,2,CE Dean (Southern Vipers),vs South East Stars (31-05-2021)
1252280,2021,10-09-2021,2,Northern Diamonds,Western Storm,S Hutchins,2,S Hutchins (Western Storm),vs Northern Diamonds (10-09-2021)
1252270,2021,31-05-2021,2,Southern Vipers,South East Stars,BF Smith,2,BF Smith (South East Stars),vs Southern Vipers (31-05-2021)
1252280,2021,10-09-2021,1,Western Storm,Northern Diamonds,KA Levick,2,KA Levick (Northern Diamonds),vs Western Storm (10-09-2021)
1252271,2021,31-05-2021,2,Sunrisers,Thunder,A Hartley,2,A Hartley (Thunder),vs Sunrisers (31-05-2021)
1252280,2021,10-09-2021,1,Western Storm,Northern Diamonds,BA Langston,2,BA Langston (Northern Diamonds),vs Western Storm (10-09-2021)
1252272,2021,05-06-2021,2,South East Stars,Western Storm,N Harvey,2,N Harvey (Western Storm),vs South East Stars (05-06-2021)
1252273,2021,05-06-2021,1,Sunrisers,Northern Diamonds,BA Langston,2,BA Langston (Northern Diamonds),vs Sunrisers (05-06-2021)
1252278,2021,12-06-2021,2,Thunder,Central Sparks,S Glenn,2,S Glenn (Central Sparks),vs Thunder (12-06-2021)
1252274,2021,06-06-2021,1,Lightning,Thunder,A Hartley,2,A Hartley (Thunder),vs Lightning (06-06-2021)
1252274,2021,06-06-2021,1,Lightning,Thunder,S Ecclestone,2,S Ecclestone (Thunder),vs Lightning (06-06-2021)
1252274,2021,06-06-2021,2,Thunder,Lightning,T Graves,2,T Graves (Lightning),vs Thunder (06-06-2021)
1252275,2021,05-06-2021,1,Central Sparks,Southern Vipers,GL Adams,2,GL Adams (Southern Vipers),vs Central Sparks (05-06-2021)
1252277,2021,12-06-2021,2,Lightning,Sunrisers,KS Castle,2,KS Castle (Sunrisers),vs Lightning (12-06-2021)
1252276,2021,12-06-2021,1,South East Stars,Northern Diamonds,JL Gunn,2,JL Gunn (Northern Diamonds),vs South East Stars (12-06-2021)
1252276,2021,12-06-2021,2,Northern Diamonds,South East Stars,D Gregory,2,D Gregory (South East Stars),vs Northern Diamonds (12-06-2021)
1252276,2021,12-06-2021,2,Northern Diamonds,South East Stars,GJ Gibbs,2,GJ Gibbs (South East Stars),vs Northern Diamonds (12-06-2021)
1252269,2021,31-05-2021,2,Western Storm,Central Sparks,S Glenn,2,S Glenn (Central Sparks),vs Western Storm (31-05-2021)
1252269,2021,31-05-2021,1,Central Sparks,Western Storm,L Filer,2,L Filer (Western Storm),vs Central Sparks (31-05-2021)
1252283,2021,10-09-2021,2,Southern Vipers,Thunder,A Hartley,2,A Hartley (Thunder),vs Southern Vipers (10-09-2021)
1252281,2021,10-09-2021,1,South East Stars,Lightning,KE Bryce,2,KE Bryce (Lightning),vs South East Stars (10-09-2021)
1252264,2021,29-05-2021,1,Northern Diamonds,Central Sparks,S Butler,2,S Butler (Central Sparks),vs Northern Diamonds (29-05-2021)
1252264,2021,29-05-2021,2,Central Sparks,Northern Diamonds,BA Langston,2,BA Langston (Northern Diamonds),vs Central Sparks (29-05-2021)
1252283,2021,10-09-2021,1,Thunder,Southern Vipers,LK Bell,2,LK Bell (Southern Vipers),vs Thunder (10-09-2021)
1252264,2021,29-05-2021,2,Central Sparks,Northern Diamonds,KH Brunt,2,KH Brunt (Northern Diamonds),vs Central Sparks (29-05-2021)
1252265,2021,29-05-2021,2,Western Storm,Thunder,HE Jones,2,HE Jones (Thunder),vs Western Storm (29-05-2021)
1252267,2021,29-05-2021,1,Lightning,Southern Vipers,CE Dean,2,CE Dean (Southern Vipers),vs Lightning (29-05-2021)
1252282,2021,10-09-2021,1,Sunrisers,Central Sparks,E Jones,2,E Jones (Central Sparks),vs Sunrisers (10-09-2021)
1252281,2021,10-09-2021,2,Lightning,South East Stars,PA Franklin,2,PA Franklin (South East Stars),vs Lightning (10-09-2021)
1252281,2021,10-09-2021,2,Lightning,South East Stars,AN Davidson-Richards,2,AN Davidson-Richards (South East Stars),vs Lightning (10-09-2021)
1229346,2020,19-09-2020,1,South East Stars,Southern Vipers,CM Taylor,2,CM Taylor (Southern Vipers),vs South East Stars (19-09-2020)
1252281,2021,10-09-2021,2,Lightning,South East Stars,A Capsey,2,A Capsey (South East Stars),vs Lightning (10-09-2021)
1252268,2021,31-05-2021,1,Northern Diamonds,Lightning,T Graves,2,T Graves (Lightning),vs Northern Diamonds (31-05-2021)
1252268,2021,31-05-2021,2,Lightning,Northern Diamonds,BA Langston,2,BA Langston (Northern Diamonds),vs Lightning (31-05-2021)
1252268,2021,31-05-2021,2,Lightning,Northern Diamonds,KA Levick,2,KA Levick (Northern Diamonds),vs Lightning (31-05-2021)
1252268,2021,31-05-2021,2,Lightning,Northern Diamonds,NR Sciver,2,NR Sciver (Northern Diamonds),vs Lightning (31-05-2021)
1252281,2021,10-09-2021,1,South East Stars,Lightning,KL Gordon,2,KL Gordon (Lightning),vs South East Stars (10-09-2021)
1252269,2021,31-05-2021,1,Central Sparks,Western Storm,FMK Morris,2,FMK Morris (Western Storm),vs Central Sparks (31-05-2021)
1252268,2021,31-05-2021,1,Northern Diamonds,Lightning,LF Higham,2,LF Higham (Lightning),vs Northern Diamonds (31-05-2021)
1252286,2021,12-09-2021,1,Western Storm,Lightning,S Munro,2,S Munro (Lightning),vs Western Storm (12-09-2021)
1229337,2020,05-09-2020,1,Southern Vipers,South East Stars,E Gray,2,E Gray (South East Stars),vs Southern Vipers (05-09-2020)
1252290,2021,18-09-2021,2,Sunrisers,Western Storm,C Nicholas,2,C Nicholas (Western Storm),vs Sunrisers (18-09-2021)
1252291,2021,18-09-2021,1,Northern Diamonds,Southern Vipers,PJ Scholfield,2,PJ Scholfield (Southern Vipers),vs Northern Diamonds (18-09-2021)
1252291,2021,18-09-2021,1,Northern Diamonds,Southern Vipers,LK Bell,2,LK Bell (Southern Vipers),vs Northern Diamonds (18-09-2021)
1229335,2020,05-09-2020,2,Sunrisers,Western Storm,L Filer,2,L Filer (Western Storm),vs Sunrisers (05-09-2020)
1229336,2020,05-09-2020,1,Lightning,Northern Diamonds,AL MacDonald,2,AL MacDonald (Northern Diamonds),vs Lightning (05-09-2020)
1229336,2020,05-09-2020,1,Lightning,Northern Diamonds,BA Langston,2,BA Langston (Northern Diamonds),vs Lightning (05-09-2020)
1229336,2020,05-09-2020,1,Lightning,Northern Diamonds,HJ Armitage,2,HJ Armitage (Northern Diamonds),vs Lightning (05-09-2020)
1229336,2020,05-09-2020,1,Lightning,Northern Diamonds,JL Gunn,2,JL Gunn (Northern Diamonds),vs Lightning (05-09-2020)
1252290,2021,18-09-2021,2,Sunrisers,Western Storm,N Harvey,2,N Harvey (Western Storm),vs Sunrisers (18-09-2021)
1252290,2021,18-09-2021,2,Sunrisers,Western Storm,GM Hennessy,2,GM Hennessy (Western Storm),vs Sunrisers (18-09-2021)
1252290,2021,18-09-2021,2,Sunrisers,Western Storm,DR Gibson,2,DR Gibson (Western Storm),vs Sunrisers (18-09-2021)
1229336,2020,05-09-2020,2,Northern Diamonds,Lightning,N Harman,2,N Harman (Lightning),vs Northern Diamonds (05-09-2020)
1229339,2020,11-09-2020,1,South East Stars,Western Storm,A Griffiths,2,A Griffiths (Western Storm),vs South East Stars (11-09-2020)
1252290,2021,18-09-2021,1,Western Storm,Sunrisers,MK Villiers,2,MK Villiers (Sunrisers),vs Western Storm (18-09-2021)
1229345,2020,13-09-2020,2,Central Sparks,Northern Diamonds,BA Langston,2,BA Langston (Northern Diamonds),vs Central Sparks (13-09-2020)
1229337,2020,05-09-2020,1,Southern Vipers,South East Stars,NE Farrant,2,NE Farrant (South East Stars),vs Southern Vipers (05-09-2020)
1229337,2020,05-09-2020,2,South East Stars,Southern Vipers,CM Taylor,2,CM Taylor (Southern Vipers),vs South East Stars (05-09-2020)
1229337,2020,05-09-2020,2,South East Stars,Southern Vipers,PJ Scholfield,2,PJ Scholfield (Southern Vipers),vs South East Stars (05-09-2020)
1229338,2020,10-09-2020,1,Northern Diamonds,Thunder,A Hartley,2,A Hartley (Thunder),vs Northern Diamonds (10-09-2020)
1229338,2020,10-09-2020,1,Northern Diamonds,Thunder,AE Dyson,2,AE Dyson (Thunder),vs Northern Diamonds (10-09-2020)
1229338,2020,10-09-2020,1,Northern Diamonds,Thunder,L Jackson,2,L Jackson (Thunder),vs Northern Diamonds (10-09-2020)
1252289,2021,18-09-2021,2,South East Stars,Thunder,A Hartley,2,A Hartley (Thunder),vs South East Stars (18-09-2021)
1229338,2020,10-09-2020,2,Thunder,Northern Diamonds,BA Langston,2,BA Langston (Northern Diamonds),vs Thunder (10-09-2020)
1252292,2021,22-09-2021,1,Central Sparks,Northern Diamonds,BA Langston,2,BA Langston (Northern Diamonds),vs Central Sparks (22-09-2021)
